DISTRICT ACCOUNTABILITY RATINGS,TOTAL STUDENTS_y,ATTENDANCE RATE (2020-21),4-YR LONGITUDINAL GRADUATION RATE (CLASS OF 2021) DISTRICT EXCL,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE_y,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE_y,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD_y,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE_y,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE_y,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD_y,COLLEGE ADMISSIONS: % TESTED (2020-2021),COLLEGE ADMISSIONS: % AT/ABOVE CRITERION (2020-2021),Change in STAAR: % ALL SUBJECTS AT MASTERS GRADE LEVEL STANDARD,Change in STAAR: % ALL SUBJECTS AT MEETS GRADE LEVEL STANDARD OR ABOVE,Change in STAAR: % ALL SUBJECTS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE
A,574,96.7,100.0,81.0,67.0,39.0,88.0,65.0,34.0,58.3,19.0,0.0,0.0,0.0
A,1150,96.0,100.0,85.0,64.0,34.0,84.0,49.0,23.0,51.6,27.7,0.0,0.0,0.0
A,808,95.4,95.2,84.0,63.0,24.0,85.0,57.0,26.0,92.7,36.8,0.0,0.0,0.0
A,342,95.8,95.8,87.0,67.0,30.0,94.0,69.0,27.0,87.0,15.0,0.0,0.0,0.0
B,3360,93.7,99.0,72.0,48.0,20.0,75.0,44.0,20.0,43.3,49.4,0.0,0.0,0.0
B,1332,94.5,97.8,70.0,45.0,19.0,66.0,34.0,14.0,40.0,28.9,0.0,0.0,0.0
B,361,96.7,100.0,86.0,66.0,31.0,81.0,42.0,19.0,12.5,-1.0,0.0,0.0,0.0
B,4131,92.8,96.8,75.0,50.0,22.0,76.0,44.0,21.0,42.0,35.8,0.0,0.0,0.0
A,995,97.3,100.0,82.0,60.0,31.0,81.0,53.0,29.0,9.6,60.0,0.0,0.0,0.0
A,2799,95.2,94.1,84.0,62.0,31.0,88.0,62.0,33.0,38.3,60.0,0.0,0.0,0.0
B,7318,93.0,92.0,69.0,46.0,20.0,66.0,37.0,18.0,86.7,22.6,0.0,0.0,0.0
B,1612,95.7,95.4,76.0,50.0,21.0,77.0,43.0,20.0,41.3,39.5,0.0,0.0,0.0
A,1744,97.0,98.2,76.0,48.0,18.0,80.0,44.0,17.0,56.0,27.9,0.0,0.0,0.0
B,300,93.5,92.6,77.0,57.0,28.0,68.0,26.0,12.0,33.3,37.5,0.0,0.0,0.0
A,1451,94.3,97.8,75.0,52.0,23.0,74.0,41.0,18.0,68.2,26.7,0.0,0.0,0.0
B,3005,92.5,91.3,67.0,43.0,19.0,62.0,32.0,15.0,53.7,24.2,0.0,0.0,0.0
A,506,99.6,81.8,90.0,74.0,37.0,91.0,67.0,41.0,78.6,22.7,0.0,0.0,0.0
A,1126,97.4,98.7,85.0,66.0,35.0,86.0,61.0,32.0,80.6,48.3,0.0,0.0,0.0
A,530,97.5,100.0,89.0,68.0,37.0,93.0,73.0,36.0,82.8,41.7,0.0,0.0,0.0
A,307,94.9,100.0,91.0,62.0,32.0,90.0,64.0,42.0,50.0,8.3,0.0,0.0,0.0
B,397,96.6,83.3,71.0,43.0,11.0,68.0,38.0,15.0,-1.0,25.0,0.0,0.0,0.0
A,1569,94.5,97.1,82.0,62.0,30.0,80.0,50.0,27.0,32.7,34.4,0.0,0.0,0.0
B,1740,91.9,91.4,68.0,38.0,14.0,60.0,22.0,9.0,16.3,35.7,0.0,0.0,0.0
B,3374,93.8,97.1,73.0,49.0,21.0,71.0,39.0,16.0,62.4,31.1,0.0,0.0,0.0
C,1676,90.2,93.2,65.0,40.0,15.0,52.0,21.0,7.0,74.3,8.0,0.0,0.0,0.0
C,2191,95.5,99.4,76.0,50.0,21.0,68.0,35.0,14.0,26.8,47.9,0.0,0.0,0.0
B,2814,94.4,96.3,73.0,48.0,20.0,74.0,40.0,16.0,40.9,38.9,0.0,0.0,0.0
B,766,96.0,98.0,79.0,55.0,21.0,82.0,52.0,24.0,38.0,21.1,0.0,0.0,0.0
A,1347,94.2,100.0,70.0,43.0,17.0,62.0,34.0,16.0,100.0,20.7,0.0,0.0,0.0
C,265,95.7,96.2,79.0,53.0,24.0,72.0,39.0,11.0,41.7,40.0,0.0,0.0,0.0
Not Rated: Senate Bill 1365,2301,95.2,81.2,70.0,45.0,19.0,61.0,28.0,11.0,30.5,42.5,0.0,0.0,0.0
C,11947,92.0,95.9,60.0,37.0,14.0,59.0,29.0,10.0,64.8,20.6,0.0,0.0,0.0
C,4985,92.0,89.6,59.0,35.0,12.0,55.0,20.0,7.0,92.7,11.7,0.0,0.0,0.0
B,1780,92.9,92.1,74.0,51.0,21.0,71.0,37.0,15.0,23.0,31.0,0.0,0.0,0.0
B,319,97.6,92.3,71.0,41.0,20.0,60.0,30.0,11.0,83.3,10.0,0.0,0.0,0.0
A,618,95.7,95.5,88.0,65.0,29.0,92.0,66.0,37.0,87.8,36.1,0.0,0.0,0.0
B,401,96.7,,80.0,52.0,29.0,69.0,26.0,7.0,,,0.0,0.0,0.0
B,2996,87.1,86.8,74.0,47.0,19.0,65.0,27.0,9.0,32.7,20.3,0.0,0.0,0.0
B,498,96.8,,78.0,57.0,30.0,64.0,38.0,14.0,,,0.0,0.0,0.0
B,377,96.2,100.0,77.0,48.0,22.0,75.0,43.0,16.0,16.7,-1.0,0.0,0.0,0.0
A,785,93.8,94.8,86.0,59.0,26.0,78.0,47.0,15.0,38.2,19.0,0.0,0.0,0.0
C,1590,68.3,19.5,31.0,12.0,1.0,29.0,3.0,1.0,0.7,-1.0,0.0,0.0,0.0
B,836,96.2,90.9,75.0,52.0,23.0,58.0,28.0,10.0,10.0,-1.0,0.0,0.0,0.0
A,1900,97.9,91.8,94.0,78.0,43.0,88.0,56.0,26.0,82.6,57.7,0.0,0.0,0.0
B,1749,93.4,95.5,81.0,59.0,29.0,78.0,44.0,19.0,32.5,40.5,0.0,0.0,0.0
B,394,95.2,100.0,66.0,35.0,10.0,51.0,16.0,3.0,100.0,8.3,0.0,0.0,0.0
B,13298,94.7,97.4,77.0,55.0,25.0,71.0,39.0,17.0,88.3,32.6,0.0,0.0,0.0
A,656,96.0,98.0,85.0,62.0,28.0,90.0,62.0,29.0,68.6,42.9,0.0,0.0,0.0
C,43839,91.8,88.6,72.0,47.0,19.0,66.0,33.0,13.0,62.3,30.0,0.0,0.0,0.0
B,893,95.9,96.9,80.0,55.0,25.0,76.0,38.0,16.0,40.3,32.0,0.0,0.0,0.0
B,2233,95.6,98.8,81.0,58.0,28.0,78.0,46.0,22.0,55.9,64.4,0.0,0.0,0.0
C,8395,92.9,92.8,65.0,39.0,18.0,66.0,34.0,15.0,57.2,19.7,0.0,0.0,0.0
A,1636,96.0,99.1,80.0,53.0,23.0,81.0,52.0,23.0,67.0,28.8,0.0,0.0,0.0
B,124,79.2,64.7,51.0,29.0,4.0,65.0,18.0,9.0,0.0,,0.0,0.0,0.0
B,776,92.8,100.0,50.0,28.0,13.0,43.0,17.0,5.0,85.2,0.0,0.0,0.0,0.0
A,149,93.8,100.0,89.0,79.0,12.0,83.0,38.0,19.0,20.0,25.0,0.0,0.0,0.0
C,353,90.0,100.0,54.0,30.0,8.0,43.0,10.0,3.0,14.3,-1.0,0.0,0.0,0.0
B,794,90.2,81.5,59.0,34.0,14.0,46.0,16.0,6.0,40.8,19.4,0.0,0.0,0.0
B,636,92.5,88.0,75.0,49.0,22.0,54.0,18.0,7.0,74.4,12.5,0.0,0.0,0.0
Not Rated: Senate Bill 1365,261,94.7,,47.0,20.0,9.0,34.0,13.0,4.0,,,0.0,0.0,0.0
Not Rated: Senate Bill 1365,93,64.2,30.2,46.0,22.0,0.0,44.0,19.0,4.0,0.0,,0.0,0.0,0.0
A,572,97.3,100.0,73.0,47.0,22.0,73.0,37.0,16.0,95.0,7.9,0.0,0.0,0.0
C,5764,95.1,92.5,62.0,35.0,15.0,51.0,22.0,9.0,100.0,7.8,0.0,0.0,0.0
Not Rated: Senate Bill 1365,408,93.8,,50.0,28.0,11.0,38.0,11.0,5.0,,,0.0,0.0,0.0
A,3972,98.5,97.3,80.0,55.0,30.0,72.0,40.0,18.0,63.5,48.9,0.0,0.0,0.0
B,4459,96.0,98.7,69.0,45.0,19.0,69.0,35.0,15.0,55.6,34.9,0.0,0.0,0.0
B,3141,92.9,96.1,73.0,48.0,21.0,54.0,20.0,7.0,48.8,14.5,0.0,0.0,0.0
A,5288,98.9,100.0,84.0,60.0,34.0,75.0,43.0,20.0,75.8,24.0,0.0,0.0,0.0
A,93,81.4,74.2,77.0,63.0,9.0,57.0,13.0,0.0,40.0,25.0,0.0,0.0,0.0
A,3421,98.1,100.0,97.0,88.0,65.0,95.0,79.0,52.0,100.0,97.7,0.0,0.0,0.0
A,8136,97.6,96.7,90.0,68.0,39.0,83.0,50.0,24.0,100.0,68.1,0.0,0.0,0.0
B,489,98.8,,96.0,84.0,62.0,89.0,69.0,36.0,,,0.0,0.0,0.0
C,1836,92.7,,61.0,37.0,15.0,44.0,15.0,4.0,,,0.0,0.0,0.0
Not Rated: Senate Bill 1365,262,86.8,,65.0,42.0,30.0,33.0,9.0,2.0,,,0.0,0.0,0.0
C,205,91.1,,68.0,37.0,19.0,42.0,11.0,0.0,,,0.0,0.0,0.0
Not Rated: Senate Bill 1365,465,92.4,,51.0,23.0,15.0,18.0,4.0,3.0,,,0.0,0.0,0.0
Not Rated,111,,,,,,,,,,,,,
Not Rated,30,,,,,,,,,,,,,
A,4788,96.5,95.6,88.0,72.0,40.0,85.0,58.0,30.0,68.2,66.7,0.0,0.0,0.0
B,12078,85.4,90.0,66.0,38.0,14.0,62.0,26.0,9.0,85.3,16.1,0.0,0.0,0.0
C,8383,93.1,86.6,53.0,29.0,10.0,45.0,18.0,7.0,28.0,13.2,0.0,0.0,0.0
B,1027,95.6,98.2,82.0,54.0,20.0,80.0,38.0,13.0,64.8,31.4,11.0,26.0,32.0
C,8383,93.1,86.6,53.0,29.0,10.0,45.0,18.0,7.0,28.0,13.2,-11.0,-26.0,-32.0
B,1027,95.6,98.2,82.0,54.0,20.0,80.0,38.0,13.0,64.8,31.4,0.0,0.0,0.0
A,1458,97.2,99.2,93.0,74.0,37.0,90.0,58.0,28.0,97.5,35.0,0.0,0.0,0.0
B,44568,89.1,87.2,59.0,35.0,13.0,54.0,22.0,9.0,79.0,11.6,0.0,0.0,0.0
C,7919,91.8,81.4,55.0,31.0,10.0,49.0,18.0,7.0,79.1,8.8,0.0,0.0,0.0
A,3955,94.5,88.3,74.0,50.0,21.0,79.0,47.0,24.0,88.4,12.4,0.0,0.0,0.0
B,59445,95.5,90.8,80.0,60.0,30.0,77.0,47.0,23.0,61.5,51.2,0.0,0.0,0.0
Not Rated: Senate Bill 1365,10002,89.0,89.7,61.0,34.0,11.0,54.0,21.0,7.0,25.3,35.8,0.0,0.0,0.0
B,13165,97.8,96.5,69.0,44.0,18.0,63.0,29.0,11.0,86.4,9.2,0.0,0.0,0.0
B,910,98.0,97.3,86.0,62.0,28.0,79.0,41.0,18.0,100.0,34.0,0.0,0.0,0.0
A,1635,97.5,100.0,89.0,70.0,36.0,81.0,49.0,22.0,100.0,32.3,0.0,0.0,0.0
B,101584,96.9,93.6,76.0,53.0,24.0,69.0,35.0,14.0,65.9,35.6,0.0,0.0,0.0
B,236,97.5,100.0,82.0,52.0,22.0,81.0,40.0,17.0,76.9,10.0,-3.0,-3.0,5.0
B,101584,96.9,93.6,76.0,53.0,24.0,69.0,35.0,14.0,65.9,35.6,3.0,3.0,-5.0
B,236,97.5,100.0,82.0,52.0,22.0,81.0,40.0,17.0,76.9,10.0,0.0,0.0,0.0
B,24517,96.4,87.2,71.0,45.0,19.0,64.0,28.0,11.0,89.4,16.9,0.0,0.0,0.0
B,5516,94.2,88.5,65.0,40.0,16.0,67.0,36.0,17.0,76.9,10.0,0.0,0.0,0.0
A,697,95.7,100.0,84.0,63.0,30.0,82.0,48.0,21.0,64.9,41.7,0.0,0.0,0.0
B,1058,95.0,97.5,79.0,55.0,27.0,79.0,45.0,17.0,100.0,24.1,0.0,0.0,0.0
A,245,96.4,100.0,96.0,75.0,35.0,94.0,69.0,32.0,90.9,45.0,0.0,0.0,0.0
B,1024,96.9,98.4,80.0,55.0,27.0,76.0,36.0,16.0,63.1,41.5,0.0,0.0,0.0
Not Rated: Senate Bill 1365,392,95.3,90.9,74.0,42.0,19.0,57.0,23.0,9.0,81.3,3.8,0.0,0.0,0.0
B,139,94.4,93.8,66.0,37.0,18.0,43.0,23.0,8.0,73.3,18.2,0.0,0.0,0.0
B,618,96.2,97.1,77.0,53.0,23.0,77.0,44.0,18.0,44.4,12.5,0.0,0.0,0.0
B,178,92.0,100.0,61.0,34.0,12.0,59.0,35.0,12.0,44.4,-1.0,0.0,0.0,0.0
B,133,97.6,100.0,88.0,67.0,24.0,79.0,44.0,23.0,90.9,10.0,0.0,0.0,0.0
Not Rated: Senate Bill 1365,179,94.2,76.9,74.0,46.0,20.0,43.0,18.0,6.0,100.0,16.7,0.0,0.0,0.0
B,132,95.1,100.0,65.0,44.0,24.0,79.0,49.0,20.0,100.0,10.0,0.0,0.0,0.0
B,783,94.6,94.4,69.0,45.0,21.0,82.0,47.0,21.0,100.0,11.1,0.0,0.0,0.0
B,886,94.8,98.7,87.0,62.0,29.0,81.0,51.0,21.0,44.7,47.1,0.0,0.0,0.0
A,474,95.4,100.0,87.0,63.0,36.0,85.0,47.0,21.0,80.0,25.0,0.0,0.0,0.0
B,1196,94.5,96.1,71.0,46.0,19.0,67.0,36.0,15.0,50.0,10.0,0.0,0.0,0.0
A,1099,95.5,95.2,84.0,59.0,28.0,91.0,64.0,27.0,100.0,31.1,0.0,0.0,0.0
B,7126,92.9,81.7,70.0,47.0,21.0,67.0,34.0,15.0,45.7,36.9,0.0,0.0,0.0
C,2131,93.2,93.1,62.0,35.0,13.0,57.0,23.0,8.0,79.0,6.1,0.0,0.0,0.0
A,473,96.7,100.0,85.0,60.0,27.0,88.0,50.0,24.0,61.0,20.0,0.0,0.0,0.0
B,208,97.2,,96.0,62.0,34.0,89.0,57.0,17.0,,,0.0,0.0,0.0
A,500,97.2,,95.0,79.0,54.0,95.0,68.0,32.0,,,0.0,0.0,0.0
A,2313,96.3,98.9,90.0,74.0,42.0,91.0,66.0,35.0,86.8,46.9,0.0,0.0,0.0
B,69,96.7,,79.0,62.0,32.0,85.0,56.0,24.0,,,0.0,0.0,0.0
B,440,95.8,100.0,79.0,57.0,28.0,71.0,34.0,16.0,34.6,44.4,-4.0,-8.0,-4.0
B,69,96.7,,79.0,62.0,32.0,85.0,56.0,24.0,,,4.0,8.0,4.0
B,440,95.8,100.0,79.0,57.0,28.0,71.0,34.0,16.0,34.6,44.4,0.0,0.0,0.0
C,105,98.6,,95.0,73.0,27.0,62.0,24.0,11.0,,,0.0,0.0,0.0
B,27955,96.5,98.2,78.0,56.0,27.0,74.0,44.0,21.0,61.2,37.9,0.0,0.0,0.0
A,6748,97.4,96.5,80.0,57.0,26.0,77.0,45.0,20.0,40.5,27.4,0.0,0.0,0.0
B,772,95.0,97.0,81.0,58.0,24.0,80.0,40.0,17.0,29.2,52.6,0.0,0.0,0.0
B,11451,94.3,91.2,74.0,50.0,23.0,77.0,47.0,22.0,43.1,32.1,0.0,0.0,0.0
B,1851,95.0,99.2,76.0,53.0,23.0,71.0,40.0,14.0,82.0,25.7,0.0,0.0,0.0
B,2911,95.8,98.2,71.0,48.0,20.0,72.0,38.0,16.0,36.7,29.0,0.0,0.0,0.0
A,20930,97.2,99.0,87.0,71.0,41.0,87.0,63.0,37.0,57.4,63.8,0.0,0.0,0.0
B,116,97.3,,65.0,37.0,18.0,71.0,42.0,21.0,,,0.0,0.0,0.0
C,330,94.5,,70.0,39.0,22.0,72.0,31.0,16.0,,,0.0,0.0,0.0
A,609,94.6,,78.0,53.0,30.0,74.0,38.0,15.0,,,0.0,0.0,0.0
B,14138,95.6,94.7,82.0,62.0,33.0,82.0,58.0,33.0,63.2,65.0,0.0,0.0,0.0
B,16005,93.1,91.0,66.0,41.0,17.0,64.0,32.0,14.0,60.4,28.0,0.0,0.0,0.0
C,111,91.9,100.0,38.0,23.0,11.0,43.0,12.0,8.0,87.5,42.9,0.0,0.0,0.0
B,970,95.6,92.5,85.0,61.0,28.0,74.0,42.0,18.0,66.1,34.1,0.0,0.0,0.0
A,57,96.1,-1.0,73.0,48.0,18.0,68.0,28.0,0.0,-1.0,-1.0,0.0,0.0,0.0
A,9,-1.0,,100.0,100.0,57.0,100.0,71.0,29.0,,,0.0,0.0,0.0
A,187,97.0,100.0,84.0,64.0,32.0,87.0,62.0,36.0,92.3,0.0,0.0,0.0,0.0
B,1340,95.3,96.7,64.0,39.0,14.0,54.0,23.0,10.0,33.7,3.2,0.0,0.0,0.0
B,869,95.3,98.4,80.0,61.0,28.0,83.0,47.0,20.0,57.4,40.0,0.0,0.0,0.0
B,3448,93.9,95.3,74.0,49.0,21.0,73.0,43.0,20.0,57.4,26.7,0.0,0.0,0.0
C,147,96.1,100.0,60.0,36.0,17.0,45.0,16.0,7.0,75.0,22.2,0.0,0.0,0.0
A,227,96.2,100.0,84.0,58.0,25.0,74.0,36.0,10.0,66.7,31.3,0.0,0.0,0.0
B,212,95.1,100.0,84.0,52.0,27.0,75.0,35.0,16.0,12.5,-1.0,0.0,0.0,0.0
A,191,94.9,100.0,70.0,48.0,23.0,66.0,35.0,14.0,60.0,0.0,0.0,0.0,0.0
A,1136,96.2,98.6,90.0,68.0,35.0,86.0,59.0,27.0,33.3,54.2,0.0,0.0,0.0
A,1833,93.6,95.0,81.0,57.0,25.0,83.0,54.0,26.0,41.2,36.2,0.0,0.0,0.0
B,541,94.2,96.6,56.0,34.0,11.0,62.0,29.0,11.0,50.0,15.4,0.0,0.0,0.0
A,529,98.4,97.6,67.0,45.0,23.0,76.0,47.0,26.0,77.8,10.7,0.0,0.0,0.0
B,3262,93.5,97.4,70.0,46.0,19.0,67.0,31.0,12.0,57.1,40.2,0.0,0.0,0.0
B,3995,96.1,97.8,72.0,49.0,21.0,67.0,32.0,13.0,85.3,18.8,0.0,0.0,0.0
C,6117,90.6,93.0,62.0,36.0,14.0,67.0,30.0,12.0,78.9,15.7,0.0,0.0,0.0
B,1425,93.3,95.6,66.0,40.0,17.0,67.0,30.0,14.0,40.7,22.9,0.0,0.0,0.0
Not Rated: Senate Bill 1365,235,97.4,92.3,47.0,23.0,5.0,27.0,2.0,1.0,100.0,7.7,0.0,0.0,0.0
B,3561,92.2,96.7,76.0,48.0,20.0,77.0,44.0,20.0,27.9,41.9,0.0,0.0,0.0
A,378,95.7,100.0,87.0,59.0,24.0,79.0,54.0,20.0,86.2,20.0,0.0,0.0,0.0
B,1431,95.7,96.8,80.0,56.0,26.0,78.0,45.0,21.0,46.5,19.6,0.0,0.0,0.0
B,293,94.9,94.4,79.0,57.0,22.0,78.0,40.0,18.0,50.0,0.0,0.0,0.0,0.0
A,462,96.7,100.0,86.0,62.0,30.0,78.0,50.0,24.0,100.0,38.9,0.0,0.0,0.0
A,38412,97.1,94.1,74.0,51.0,22.0,74.0,42.0,20.0,26.7,27.7,0.0,0.0,0.0
B,17022,95.8,93.5,75.0,50.0,21.0,71.0,36.0,14.0,19.7,31.6,0.0,0.0,0.0
B,2908,97.4,95.4,77.0,49.0,19.0,69.0,33.0,12.0,13.9,42.9,0.0,0.0,0.0
A,10333,96.2,94.5,80.0,57.0,27.0,78.0,50.0,23.0,28.6,51.6,0.0,0.0,0.0
B,1968,94.0,88.3,74.0,46.0,18.0,66.0,24.0,8.0,90.3,12.2,0.0,0.0,0.0
B,1602,95.4,88.9,69.0,44.0,17.0,61.0,26.0,12.0,47.7,12.9,0.0,0.0,0.0
B,9201,96.0,92.0,65.0,40.0,17.0,61.0,28.0,11.0,80.2,8.6,0.0,0.0,0.0
B,543,95.6,92.2,60.0,33.0,11.0,59.0,26.0,8.0,15.2,0.0,0.0,0.0,0.0
B,848,93.4,94.7,69.0,41.0,18.0,65.0,31.0,12.0,100.0,5.6,0.0,0.0,0.0
A,4251,93.7,98.5,94.0,81.0,39.0,90.0,60.0,31.0,73.9,51.9,0.0,0.0,0.0
A,2352,94.7,100.0,84.0,57.0,25.0,85.0,56.0,27.0,43.0,21.3,0.0,0.0,0.0
A,143,97.8,100.0,87.0,73.0,40.0,93.0,59.0,33.0,100.0,27.3,0.0,0.0,0.0
A,663,97.0,100.0,88.0,68.0,39.0,90.0,72.0,40.0,82.5,36.2,0.0,0.0,0.0
B,339,95.8,100.0,83.0,57.0,22.0,74.0,36.0,11.0,100.0,10.3,0.0,0.0,0.0
B,1906,94.7,98.1,80.0,57.0,24.0,76.0,41.0,20.0,84.6,21.6,0.0,0.0,0.0
B,137,93.9,100.0,70.0,47.0,21.0,68.0,41.0,16.0,50.0,-1.0,0.0,0.0,0.0
A,1146,95.1,100.0,87.0,61.0,29.0,81.0,50.0,19.0,44.4,27.8,0.0,0.0,0.0
B,638,95.1,92.2,80.0,54.0,26.0,79.0,40.0,17.0,29.5,22.2,0.0,0.0,0.0
A,399,94.8,100.0,85.0,61.0,26.0,89.0,55.0,24.0,38.9,42.9,0.0,0.0,0.0
A,933,95.1,100.0,75.0,51.0,21.0,80.0,44.0,17.0,95.5,11.8,0.0,0.0,0.0
A,240,93.6,100.0,85.0,62.0,23.0,79.0,49.0,26.0,53.3,12.5,0.0,0.0,0.0
B,1153,93.6,94.3,65.0,34.0,13.0,64.0,29.0,12.0,83.7,2.8,0.0,0.0,0.0
B,209,95.0,93.3,89.0,64.0,28.0,90.0,58.0,27.0,64.3,0.0,0.0,0.0,0.0
A,250,97.5,100.0,94.0,79.0,53.0,95.0,80.0,42.0,100.0,55.6,0.0,0.0,0.0
A,1389,96.2,99.0,76.0,51.0,21.0,76.0,44.0,18.0,54.9,19.6,0.0,0.0,0.0
A,6796,95.9,98.7,90.0,73.0,41.0,93.0,72.0,44.0,75.6,48.1,0.0,0.0,0.0
B,1540,95.8,100.0,78.0,53.0,26.0,75.0,44.0,18.0,54.4,42.9,0.0,0.0,0.0
B,556,95.1,98.0,69.0,44.0,22.0,78.0,39.0,14.0,77.1,18.9,0.0,0.0,0.0
B,4735,94.5,94.1,69.0,44.0,18.0,65.0,32.0,11.0,72.5,12.3,0.0,0.0,0.0
C,2001,95.3,96.4,76.0,50.0,22.0,74.0,37.0,15.0,88.2,13.4,0.0,0.0,0.0
