DISTRICT NAME,TOTAL STUDENTS,DISTRICT ACCOUNTABILITY RATINGS,4-YR LONGITUDINAL GRADUATION RATE DISTRICT EXCL,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD,COLLEGE ADMISSIONS: % TESTED,COLLEGE ADMISSIONS: % AT/ABOVE CRITERION,ATTENDANCE RATE 
CAYUGA ISD,574,A,100,81,67,39,88,65,34,58.3,19,96.7
ELKHART ISD,1150,A,100,85,64,34,84,49,23,51.6,27.7,96
FRANKSTON ISD,808,A,95.2,84,63,24,85,57,26,92.7,36.8,95.4
NECHES ISD,342,A,95.8,87,67,30,94,69,27,87,15,95.8
PALESTINE ISD,3360,B,99,72,48,20,75,44,20,43.3,49.4,93.7
WESTWOOD ISD,1332,B,97.8,70,45,19,66,34,14,40,28.9,94.5
SLOCUM ISD,361,B,100,86,66,31,81,42,19,12.5,-1,96.7
ANDREWS ISD,4131,B,96.8,75,50,22,76,44,21,42,35.8,92.8
PINEYWOODS COMMUNITY ACADEMY,995,A,100,82,60,31,81,53,29,9.6,60,97.3
HUDSON ISD,2799,A,94.1,84,62,31,88,62,33,38.3,60,95.2
LUFKIN ISD,7318,B,92,69,46,20,66,37,18,86.7,22.6,93
HUNTINGTON ISD,1612,B,95.4,76,50,21,77,43,20,41.3,39.5,95.7
DIBOLL ISD,1744,A,98.2,76,48,18,80,44,17,56,27.9,97
ZAVALLA ISD,300,B,92.6,77,57,28,68,26,12,33.3,37.5,93.5
CENTRAL ISD,1451,A,97.8,75,52,23,74,41,18,68.2,26.7,94.3
ARANSAS COUNTY ISD,3005,B,91.3,67,43,19,62,32,15,53.7,24.2,92.5
ARCHER CITY ISD,506,A,81.8,90,74,37,91,67,41,78.6,22.7,99.6
HOLLIDAY ISD,1126,A,98.7,85,66,35,86,61,32,80.6,48.3,97.4
WINDTHORST ISD,530,A,100,89,68,37,93,73,36,82.8,41.7,97.5
CLAUDE ISD,307,A,100,91,62,32,90,64,42,50,8.3,94.9
CHARLOTTE ISD,397,B,83.3,71,43,11,68,38,15,-1,25,96.6
JOURDANTON ISD,1569,A,97.1,82,62,30,80,50,27,32.7,34.4,94.5
LYTLE ISD,1740,B,91.4,68,38,14,60,22,9,16.3,35.7,91.9
PLEASANTON ISD,3374,B,97.1,73,49,21,71,39,16,62.4,31.1,93.8
POTEET ISD,1676,C,93.2,65,40,15,52,21,7,74.3,8,90.2
BELLVILLE ISD,2191,C,99.4,76,50,21,68,35,14,26.8,47.9,95.5
SEALY ISD,2814,B,96.3,73,48,20,74,40,16,40.9,38.9,94.4
BRAZOS ISD,766,B,98,79,55,21,82,52,24,38,21.1,96
MULESHOE ISD,1347,A,100,70,43,17,62,34,16,100,20.7,94.2
MEDINA ISD,265,C,96.2,79,53,24,72,39,11,41.7,40,95.7
BANDERA ISD,2301,Not Rated: Senate Bill 1365,81.2,70,45,19,61,28,11,30.5,42.5,95.2
BASTROP ISD,11947,C,95.9,60,37,14,59,29,10,64.8,20.6,92
ELGIN ISD,4985,C,89.6,59,35,12,55,20,7,92.7,11.7,92
SMITHVILLE ISD,1780,B,92.1,74,51,21,71,37,15,23,31,92.9
MCDADE ISD,319,B,92.3,71,41,20,60,30,11,83.3,10,97.6
SEYMOUR ISD,618,A,95.5,88,65,29,92,66,37,87.8,36.1,95.7
ST MARY'S ACADEMY CHARTER SCHOOL,401,B,,80,52,29,69,26,7,,,96.7
BEEVILLE ISD,2996,B,86.8,74,47,19,65,27,9,32.7,20.3,87.1
PAWNEE ISD,498,B,,78,57,30,64,38,14,,,96.8
PETTUS ISD,377,B,100,77,48,22,75,43,16,16.7,-1,96.2
SKIDMORE-TYNAN ISD,785,A,94.8,86,59,26,78,47,15,38.2,19,93.8
RICHARD MILBURN ALTER HIGH SCHOOL - KILLEEN,1590,C,19.5,31,12,1,29,3,1,0.7,-1,68.3
PRIORITY CHARTER SCHOOLS,836,B,90.9,75,52,23,58,28,10,10,-1,96.2
ORENDA CHARTER SCHOOL,1900,A,91.8,94,78,43,88,56,26,82.6,57.7,97.9
ACADEMY ISD,1749,B,95.5,81,59,29,78,44,19,32.5,40.5,93.4
BARTLETT ISD,394,B,100,66,35,10,51,16,3,100,8.3,95.2
BELTON ISD,13298,B,97.4,77,55,25,71,39,17,88.3,32.6,94.7
HOLLAND ISD,656,A,98,85,62,28,90,62,29,68.6,42.9,96
KILLEEN ISD,43839,C,88.6,72,47,19,66,33,13,62.3,30,91.8
ROGERS ISD,893,B,96.9,80,55,25,76,38,16,40.3,32,95.9
SALADO ISD,2233,B,98.8,81,58,28,78,46,22,55.9,64.4,95.6
TEMPLE ISD,8395,C,92.8,65,39,18,66,34,15,57.2,19.7,92.9
TROY ISD,1636,A,99.1,80,53,23,81,52,23,67,28.8,96
POR VIDA ACADEMY,124,B,64.7,51,29,4,65,18,9,0,,79.2
GEORGE GERVIN ACADEMY,776,B,100,50,28,13,43,17,5,85.2,0,92.8
NEW FRONTIERS PUBLIC SCHOOLS INC,149,A,100,89,79,12,83,38,19,20,25,93.8
LEGACY TRADITIONAL SCHOOLS - TEXAS,353,C,100,54,30,8,43,10,3,14.3,-1,90
SOUTHWEST PREPARATORY SCHOOL,794,B,81.5,59,34,14,46,16,6,40.8,19.4,90.2
INSPIRE ACADEMIES,636,B,88,75,49,22,54,18,7,74.4,12.5,92.5
BEXAR COUNTY ACADEMY,261,Not Rated: Senate Bill 1365,,47,20,9,34,13,4,,,94.7
POSITIVE SOLUTIONS CHARTER SCHOOL,93,Not Rated: Senate Bill 1365,30.2,46,22,0,44,19,4,0,,64.2
HERITAGE ACADEMY,572,A,100,73,47,22,73,37,16,95,7.9,97.3
JUBILEE ACADEMIES,5764,C,92.5,62,35,15,51,22,9,100,7.8,95.1
LIGHTHOUSE PUBLIC SCHOOLS,408,Not Rated: Senate Bill 1365,,50,28,11,38,11,5,,,93.8
SCHOOL OF SCIENCE AND TECHNOLOGY,3972,A,97.3,80,55,30,72,40,18,63.5,48.9,98.5
HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,4459,B,98.7,69,45,19,69,35,15,55.6,34.9,96
BROOKS ACADEMIES OF TEXAS,3141,B,96.1,73,48,21,54,20,7,48.8,14.5,92.9
SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,5288,A,100,84,60,34,75,43,20,75.8,24,98.9
HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,93,A,74.2,77,63,9,57,13,0,40,25,81.4
BASIS TEXAS,3421,A,100,97,88,65,95,79,52,100,97.7,98.1
GREAT HEARTS TEXAS,8136,A,96.7,90,68,39,83,50,24,100,68.1,97.6
ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,489,B,,96,84,62,89,69,36,,,98.8
COMPASS ROSE PUBLIC SCHOOLS,1836,C,,61,37,15,44,15,4,,,92.7
PROMESA ACADEMY CHARTER SCHOOL,262,Not Rated: Senate Bill 1365,,65,42,30,33,9,2,,,86.8
SAN ANTONIO PREPARATORY SCHOOLS,205,C,,68,37,19,42,11,0,,,91.1
THE GATHERING PLACE,465,Not Rated: Senate Bill 1365,,51,23,15,18,4,3,,,92.4
ROYAL PUBLIC SCHOOLS,111,Not Rated,,,,,,,,,,
PRELUDE PREPARATORY CHARTER SCHOOL,30,Not Rated,,,,,,,,,,
ALAMO HEIGHTS ISD,4788,A,95.6,88,72,40,85,58,30,68.2,66.7,96.5
HARLANDALE ISD,12078,B,90,66,38,14,62,26,9,85.3,16.1,85.4
EDGEWOOD ISD,8383,C,86.6,53,29,10,45,18,7,28,13.2,93.1
RANDOLPH FIELD ISD,1458,A,99.2,93,74,37,90,58,28,97.5,35,97.2
SAN ANTONIO ISD,44568,B,87.2,59,35,13,54,22,9,79,11.6,89.1
SOUTH SAN ANTONIO ISD,7919,C,81.4,55,31,10,49,18,7,79.1,8.8,91.8
SOMERSET ISD,3955,A,88.3,74,50,21,79,47,24,88.4,12.4,94.5
NORTH EAST ISD,59445,B,90.8,80,60,30,77,47,23,61.5,51.2,95.5
EAST CENTRAL ISD,10002,Not Rated: Senate Bill 1365,89.7,61,34,11,54,21,7,25.3,35.8,89
SOUTHWEST ISD,13165,B,96.5,69,44,18,63,29,11,86.4,9.2,97.8
LACKLAND ISD,910,B,97.3,86,62,28,79,41,18,100,34,98
FT SAM HOUSTON ISD,1635,A,100,89,70,36,81,49,22,100,32.3,97.5
NORTHSIDE ISD,101584,B,93.6,76,53,24,69,35,14,65.9,35.6,96.9
JUDSON ISD,24517,B,87.2,71,45,19,64,28,11,89.4,16.9,96.4
SOUTHSIDE ISD,5516,B,88.5,65,40,16,67,36,17,76.9,10,94.2
JOHNSON CITY ISD,697,A,100,84,63,30,82,48,21,64.9,41.7,95.7
BLANCO ISD,1058,B,97.5,79,55,27,79,45,17,100,24.1,95
BORDEN COUNTY ISD,245,A,100,96,75,35,94,69,32,90.9,45,96.4
CLIFTON ISD,1024,B,98.4,80,55,27,76,36,16,63.1,41.5,96.9
MERIDIAN ISD,392,Not Rated: Senate Bill 1365,90.9,74,42,19,57,23,9,81.3,3.8,95.3
MORGAN ISD,139,B,93.8,66,37,18,43,23,8,73.3,18.2,94.4
VALLEY MILLS ISD,618,B,97.1,77,53,23,77,44,18,44.4,12.5,96.2
WALNUT SPRINGS ISD,178,B,100,61,34,12,59,35,12,44.4,-1,92
IREDELL ISD,133,B,100,88,67,24,79,44,23,90.9,10,97.6
KOPPERL ISD,179,Not Rated: Senate Bill 1365,76.9,74,46,20,43,18,6,100,16.7,94.2
CRANFILLS GAP ISD,132,B,100,65,44,24,79,49,20,100,10,95.1
DEKALB ISD,783,B,94.4,69,45,21,82,47,21,100,11.1,94.6
HOOKS ISD,886,B,98.7,87,62,29,81,51,21,44.7,47.1,94.8
MAUD ISD,474,A,100,87,63,36,85,47,21,80,25,95.4
NEW BOSTON ISD,1196,B,96.1,71,46,19,67,36,15,50,10,94.5
REDWATER ISD,1099,A,95.2,84,59,28,91,64,27,100,31.1,95.5
TEXARKANA ISD,7126,B,81.7,70,47,21,67,34,15,45.7,36.9,92.9
LIBERTY-EYLAU ISD,2131,C,93.1,62,35,13,57,23,8,79,6.1,93.2
SIMMS ISD,473,A,100,85,60,27,88,50,24,61,20,96.7
MALTA ISD,208,B,,96,62,34,89,57,17,,,97.2
RED LICK ISD,500,A,,95,79,54,95,68,32,,,97.2
PLEASANT GROVE ISD,2313,A,98.9,90,74,42,91,66,35,86.8,46.9,96.3
HUBBARD ISD,69,B,,79,62,32,85,56,24,,,96.7
LEARY ISD,105,C,,95,73,27,62,24,11,,,98.6
ALVIN ISD,27955,B,98.2,78,56,27,74,44,21,61.2,37.9,96.5
ANGLETON ISD,6748,A,96.5,80,57,26,77,45,20,40.5,27.4,97.4
DANBURY ISD,772,B,97,81,58,24,80,40,17,29.2,52.6,95
BRAZOSPORT ISD,11451,B,91.2,74,50,23,77,47,22,43.1,32.1,94.3
SWEENY ISD,1851,B,99.2,76,53,23,71,40,14,82,25.7,95
COLUMBIA-BRAZORIA ISD,2911,B,98.2,71,48,20,72,38,16,36.7,29,95.8
PEARLAND ISD,20930,A,99,87,71,41,87,63,37,57.4,63.8,97.2
DAMON ISD,116,B,,65,37,18,71,42,21,,,97.3
BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,330,C,,70,39,22,72,31,16,,,94.5
ARROW ACADEMY,609,A,,78,53,30,74,38,15,,,94.6
COLLEGE STATION ISD,14138,B,94.7,82,62,33,82,58,33,63.2,65,95.6
BRYAN ISD,16005,B,91,66,41,17,64,32,14,60.4,28,93.1
TERLINGUA CSD,111,C,100,38,23,11,43,12,8,87.5,42.9,91.9
ALPINE ISD,970,B,92.5,85,61,28,74,42,18,66.1,34.1,95.6
MARATHON ISD,57,A,-1,73,48,18,68,28,0,-1,-1,96.1
SAN VICENTE ISD,9,A,,100,100,57,100,71,29,,,-1
SILVERTON ISD,187,A,100,84,64,32,87,62,36,92.3,0,97
BROOKS COUNTY ISD,1340,B,96.7,64,39,14,54,23,10,33.7,3.2,95.3
BANGS ISD,869,B,98.4,80,61,28,83,47,20,57.4,40,95.3
BROWNWOOD ISD,3448,B,95.3,74,49,21,73,43,20,57.4,26.7,93.9
BLANKET ISD,147,C,100,60,36,17,45,16,7,75,22.2,96.1
MAY ISD,227,A,100,84,58,25,74,36,10,66.7,31.3,96.2
ZEPHYR ISD,212,B,100,84,52,27,75,35,16,12.5,-1,95.1
BROOKESMITH ISD,191,A,100,70,48,23,66,35,14,60,0,94.9
EARLY ISD,1136,A,98.6,90,68,35,86,59,27,33.3,54.2,96.2
CALDWELL ISD,1833,A,95,81,57,25,83,54,26,41.2,36.2,93.6
SOMERVILLE ISD,541,B,96.6,56,34,11,62,29,11,50,15.4,94.2
SNOOK ISD,529,A,97.6,67,45,23,76,47,26,77.8,10.7,98.4
BURNET CISD,3262,B,97.4,70,46,19,67,31,12,57.1,40.2,93.5
MARBLE FALLS ISD,3995,B,97.8,72,49,21,67,32,13,85.3,18.8,96.1
LOCKHART ISD,6117,C,93,62,36,14,67,30,12,78.9,15.7,90.6
LULING ISD,1425,B,95.6,66,40,17,67,30,14,40.7,22.9,93.3
PRAIRIE LEA ISD,235,Not Rated: Senate Bill 1365,92.3,47,23,5,27,2,1,100,7.7,97.4
CALHOUN COUNTY ISD,3561,B,96.7,76,48,20,77,44,20,27.9,41.9,92.2
CROSS PLAINS ISD,378,A,100,87,59,24,79,54,20,86.2,20,95.7
CLYDE CISD,1431,B,96.8,80,56,26,78,45,21,46.5,19.6,95.7
BAIRD ISD,293,B,94.4,79,57,22,78,40,18,50,0,94.9
EULA ISD,462,A,100,86,62,30,78,50,24,100,38.9,96.7
BROWNSVILLE ISD,38412,A,94.1,74,51,22,74,42,20,26.7,27.7,97.1
HARLINGEN CISD,17022,B,93.5,75,50,21,71,36,14,19.7,31.6,95.8
LA FERIA ISD,2908,B,95.4,77,49,19,69,33,12,13.9,42.9,97.4
LOS FRESNOS CISD,10333,A,94.5,80,57,27,78,50,23,28.6,51.6,96.2
POINT ISABEL ISD,1968,B,88.3,74,46,18,66,24,8,90.3,12.2,94
RIO HONDO ISD,1602,B,88.9,69,44,17,61,26,12,47.7,12.9,95.4
SAN BENITO CISD,9201,B,92,65,40,17,61,28,11,80.2,8.6,96
SANTA MARIA ISD,543,B,92.2,60,33,11,59,26,8,15.2,0,95.6
SANTA ROSA ISD,848,B,94.7,69,41,18,65,31,12,100,5.6,93.4
SOUTH TEXAS ISD,4251,A,98.5,94,81,39,90,60,31,73.9,51.9,93.7
PITTSBURG ISD,2352,A,100,84,57,25,85,56,27,43,21.3,94.7
GROOM ISD,143,A,100,87,73,40,93,59,33,100,27.3,97.8
PANHANDLE ISD,663,A,100,88,68,39,90,72,40,82.5,36.2,97
WHITE DEER ISD,339,B,100,83,57,22,74,36,11,100,10.3,95.8
ATLANTA ISD,1906,B,98.1,80,57,24,76,41,20,84.6,21.6,94.7
AVINGER ISD,137,B,100,70,47,21,68,41,16,50,-1,93.9
HUGHES SPRINGS ISD,1146,A,100,87,61,29,81,50,19,44.4,27.8,95.1
LINDEN-KILDARE CISD,638,B,92.2,80,54,26,79,40,17,29.5,22.2,95.1
MCLEOD ISD,399,A,100,85,61,26,89,55,24,38.9,42.9,94.8
QUEEN CITY ISD,933,A,100,75,51,21,80,44,17,95.5,11.8,95.1
BLOOMBURG ISD,240,A,100,85,62,23,79,49,26,53.3,12.5,93.6
DIMMITT ISD,1153,B,94.3,65,34,13,64,29,12,83.7,2.8,93.6
HART ISD,209,B,93.3,89,64,28,90,58,27,64.3,0,95
NAZARETH ISD,250,A,100,94,79,53,95,80,42,100,55.6,97.5
ANAHUAC ISD,1389,A,99,76,51,21,76,44,18,54.9,19.6,96.2
BARBERS HILL ISD,6796,A,98.7,90,73,41,93,72,44,75.6,48.1,95.9
EAST CHAMBERS ISD,1540,B,100,78,53,26,75,44,18,54.4,42.9,95.8
ALTO ISD,556,B,98,69,44,22,78,39,14,77.1,18.9,95.1
JACKSONVILLE ISD,4735,B,94.1,69,44,18,65,32,11,72.5,12.3,94.5
RUSK ISD,2001,C,96.4,76,50,22,74,37,15,88.2,13.4,95.3
NEW SUMMERFIELD ISD,538,B,100,78,50,20,73,38,12,55,0,96
WELLS ISD,258,B,100,68,42,16,75,31,13,72.7,12.5,95.5
CHILDRESS ISD,1013,A,87.2,83,62,29,85,58,31,74.6,34,94.5
HENRIETTA ISD,942,B,92.7,83,56,25,81,44,16,75,33.3,95.5
PETROLIA CISD,461,B,93.8,75,49,20,68,34,14,46.7,14.3,95.8
BELLEVUE ISD,151,C,100,89,57,19,75,29,8,90.9,20,96.4
MIDWAY ISD,131,B,100,67,51,19,79,41,24,37.5,-1,95.4
MORTON ISD,360,B,100,56,24,9,53,17,3,41.4,8.3,92.8
WHITEFACE CISD,313,B,95.8,81,51,22,74,31,9,100,32,96.8
BRONTE ISD,238,A,100,81,65,30,82,48,25,64.3,66.7,95.6
ROBERT LEE ISD,262,B,93.3,77,44,19,73,41,18,61.1,18.2,93.7
COLEMAN ISD,800,B,90.1,75,52,25,68,38,17,81.8,16.7,94.7
SANTA ANNA ISD,253,A,100,76,53,20,76,34,10,64.3,11.1,96.6
PANTHER CREEK CISD,165,B,100,74,47,32,70,35,15,85.7,16.7,95
IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,1386,A,97.6,96,84,57,93,70,42,100,84.1,97.5
LONE STAR LANGUAGE ACADEMY,146,A,,94,70,44,89,70,41,,,97.9
ALLEN ISD,21420,A,97.7,89,74,44,88,68,42,80.1,68.9,97.1
ANNA ISD,4436,B,92.4,77,52,24,72,40,18,42.9,32.3,95.2
CELINA ISD,3351,A,96.3,90,73,40,88,57,28,50.5,54.3,96.4
FARMERSVILLE ISD,2018,B,96.1,83,62,29,77,42,16,22.5,44.8,97.1
FRISCO ISD,65617,A,99,92,79,50,88,68,43,95.1,65.1,97
MCKINNEY ISD,23238,B,97.2,84,64,33,83,57,30,93.7,51.1,95.3
MELISSA ISD,4859,A,100,90,73,41,89,64,35,58.2,49,96.6
PLANO ISD,49241,B,95.1,83,67,39,81,56,32,94.9,59,98.2
PRINCETON ISD,6765,A,95.6,77,56,27,82,54,28,37.4,41.1,95.3
PROSPER ISD,21700,A,99.4,90,71,39,87,60,32,73.7,62.8,97.3
WYLIE ISD,18155,A,97.7,89,73,44,90,68,42,87.8,50.6,96.5
BLUE RIDGE ISD,958,B,96.9,76,55,29,76,45,21,34.9,22.7,95.6
COMMUNITY ISD,3335,B,97,72,46,20,66,30,11,91.5,15.3,97
LOVEJOY ISD,4335,A,100,96,86,54,98,87,59,100,78.4,96.3
WELLINGTON ISD,542,B,100,84,60,25,79,45,21,71.9,21.7,97
COLUMBUS ISD,1555,B,96.8,75,49,19,71,36,15,89.7,20.4,93.3
RICE CISD,1272,B,96.6,72,46,19,70,39,18,90.8,5.1,93.2
WEIMAR ISD,684,A,100,83,59,28,87,57,24,80,35,97.4
TRINITY CHARTER SCHOOL,347,B,,60,20,0,-1,-1,-1,-1,,99.3
NEW BRAUNFELS ISD,9638,B,95.1,83,61,30,80,50,23,46,53.6,96.1
COMAL ISD,27190,A,98.5,87,70,38,86,60,33,97,42.1,96.7
COMANCHE ISD,1303,A,100,79,52,22,80,47,22,60.5,28.8,95.8
DE LEON ISD,740,A,93.9,85,62,27,86,51,22,57.8,19.2,95.9
GUSTINE ISD,145,A,100,73,52,20,86,52,24,57.1,-1,96.3
SIDNEY ISD,128,B,100,85,54,24,76,35,19,63.6,28.6,96.3
EDEN CISD,222,B,100,72,42,17,64,27,11,100,35,95.4
PAINT ROCK ISD,225,B,100,74,42,16,60,25,5,100,13.3,94.8
GAINESVILLE ISD,3138,B,94.1,62,37,13,68,31,12,67.2,16.5,93.5
MUENSTER ISD,523,A,100,93,79,42,92,72,40,90.9,55,97.8
VALLEY VIEW ISD,941,B,100,71,45,18,67,32,15,65.5,15.8,96.3
CALLISBURG ISD,1140,B,98.7,77,55,25,81,49,23,93.4,42.3,96.1
ERA ISD,493,B,100,86,62,28,88,55,28,50,35.7,97.3
LINDSAY ISD,482,A,100,92,73,39,91,67,37,44.2,36.8,97.7
WALNUT BEND ISD,56,A,,79,50,21,71,24,6,,,96.7
SIVELLS BEND ISD,63,C,,89,50,24,79,29,8,,,96.3
EVANT ISD,213,Not Rated: Senate Bill 1365,85.7,69,42,11,53,20,4,32,37.5,86.5
GATESVILLE ISD,2689,B,88.9,77,52,25,75,44,18,47,27.8,93.6
OGLESBY ISD,198,B,100,79,53,23,70,33,11,69.2,33.3,96.6
JONESBORO ISD,338,C,100,77,43,14,59,27,11,14.3,-1,96
COPPERAS COVE ISD,8102,B,85.4,75,51,21,73,42,18,93.6,21.7,94.3
PADUCAH ISD,161,B,100,74,44,16,69,29,12,90.9,20,94.9
CRANE ISD,1151,B,95.5,74,48,22,69,38,18,66.2,7,94.9
CROCKETT COUNTY CONSOLIDATED CSD,729,A,100,81,55,21,79,46,25,48.9,13.6,95.3
CROSBYTON CISD,329,B,100,68,40,15,54,20,7,42.3,18.2,95.5
LORENZO ISD,237,B,94.1,63,28,12,58,19,5,52.9,0,92.6
RALLS ISD,484,B,96.9,54,28,9,46,17,6,25,0,93.4
CULBERSON COUNTY-ALLAMOORE ISD,360,B,95.7,70,40,15,52,20,8,86.4,0,87.4
DALHART ISD,1717,B,100,65,40,17,67,37,18,58.9,19.7,94.6
TEXLINE ISD,213,A,100,82,62,36,87,62,38,100,13.3,95.9
PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES,486,B,100,65,35,15,52,23,11,0,,95.1
UPLIFT EDUCATION,22183,B,97.4,72,47,21,64,31,13,95.4,24.7,93.8
TEXANS CAN ACADEMIES,5037,B,13.1,36,14,0,64,19,4,1,0,68.4
LUMIN EDUCATION,250,B,,73,54,38,75,32,18,,,92.7
ADVANTAGE ACADEMY,1138,Not Rated: Senate Bill 1365,92.6,54,28,11,32,8,3,24,16.7,95.5
LIFE SCHOOL,5558,B,99.3,73,47,19,65,30,12,98.4,12.2,95.2
UNIVERSAL ACADEMY,2055,A,89.7,89,69,46,81,57,36,96.6,32.1,98
NOVA ACADEMY,124,Not Rated: Senate Bill 1365,,60,35,15,55,20,5,,,90.4
ACADEMY OF DALLAS,245,C,,59,32,11,33,13,3,,,93.5
TRINITY BASIN PREPARATORY,4211,B,,73,44,22,65,33,13,,,95.3
ACADEMY FOR ACADEMIC EXCELLENCE,297,Not Rated,0,35,17,0,50,5,0,,,82.6
A W BROWN LEADERSHIP ACADEMY,1067,B,,69,39,16,48,15,5,,,85.1
JEAN MASSIEU ACADEMY,202,B,-1,73,46,23,72,32,10,-1,-1,95.5
NOVA ACADEMY SOUTHEAST,535,B,,75,49,28,63,25,9,,,94.1
WINFREE ACADEMY CHARTER SCHOOLS,1068,B,35.9,55,28,3,60,16,4,14.1,14,75.5
A+ ACADEMY,1551,C,98.9,60,34,11,54,19,6,97.8,10.2,92.9
INSPIRED VISION ACADEMY,1271,Not Rated: Senate Bill 1365,94,60,31,10,52,15,5,15,16.7,91.2
GATEWAY CHARTER ACADEMY,654,B,97.7,71,43,14,58,21,4,28.6,0,96.1
EDUCATION CENTER INTERNATIONAL ACADEMY,501,C,,71,42,20,58,25,9,,,94.8
EVOLUTION ACADEMY CHARTER SCHOOL,669,A,80.7,44,24,2,58,9,1,2,16.7,82.6
GOLDEN RULE CHARTER SCHOOL,1557,B,,78,49,25,70,33,16,,,96.2
ST ANTHONY SCHOOL,316,A,,82,53,30,78,30,8,,,96.6
LA ACADEMIA DE ESTRELLAS,985,B,,75,45,24,66,29,9,,,95.7
RICHLAND COLLEGIATE HIGH SCHOOL,336,A,100,67,33,0,96,79,7,60.5,62.6,91.9
CITYSCAPE SCHOOLS,1256,Not Rated: Senate Bill 1365,,58,28,12,43,16,4,,,94.9
MANARA ACADEMY,541,B,90.5,74,46,22,59,31,13,90.5,47.4,95.5
UME PREPARATORY ACADEMY,1365,A,100,90,68,37,81,42,18,86.2,46,98.1
LEGACY PREPARATORY,1464,B,98.5,65,36,14,55,23,8,85.9,9.1,96.9
VILLAGE TECH SCHOOLS,1232,C,97.8,73,43,14,53,18,4,100,18.8,96.3
INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),20535,B,98.4,69,44,20,57,25,10,100,25.3,94.7
PIONEER TECHNOLOGY & ARTS ACADEMY,2226,B,,85,59,28,70,31,11,42.9,44.4,98.2
BRIDGEWAY PREPARATORY ACADEMY,96,B,,48,33,10,62,24,5,,,90.1
CARROLLTON-FARMERS BRANCH ISD,24888,B,93.7,71,47,21,71,41,18,93.4,29.8,97.3
CEDAR HILL ISD,7112,C,89.6,66,41,16,56,23,9,93.2,14.3,96
DALLAS ISD,143430,B,81.1,66,43,19,68,39,18,99.6,17.2,92.3
DESOTO ISD,7339,B,90.6,66,40,14,54,24,9,90.1,12.9,97.1
DUNCANVILLE ISD,11944,B,94,66,41,14,60,27,10,41.2,17.2,93.4
GARLAND ISD,52960,B,95.2,72,49,22,70,38,16,92.3,26.6,95.7
GRAND PRAIRIE ISD,27284,B,90.7,68,45,19,67,36,16,85.2,19,95
HIGHLAND PARK ISD,6666,A,99.3,97,86,53,96,78,48,89.7,88.3,98.3
