DISTRICT NAME,TOTAL STUDENTS,DISTRICT ACCOUNTABILITY RATINGS,4-YR LONGITUDINAL GRADUATION RATE DISTRICT EXCL,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD,COLLEGE ADMISSIONS: % TESTED,COLLEGE ADMISSIONS: % AT/ABOVE CRITERION,ATTENDANCE RATE 
GRAFORD ISD,321,B,92,70,47,22,66,32,11,58.3,21.4,95.2
MINERAL WELLS ISD,3228,B,95.9,69,42,16,68,35,14,28.2,27.1,94.8
SANTO ISD,496,A,100,89,59,32,87,57,28,44.7,47.1,96.9
STRAWN ISD,162,B,100,65,34,14,70,35,18,63.6,14.3,96.8
PALO PINTO ISD,84,A,,94,82,55,100,73,33,,,97
PANOLA CHARTER SCHOOL,209,B,96.4,73,54,12,66,36,22,16.4,44.4,96.7
BECKVILLE ISD,686,A,96.4,88,66,32,89,62,29,89.1,20.4,96.3
CARTHAGE ISD,2668,B,94.6,77,52,24,74,42,17,45.7,36.7,94.4
GARY ISD,487,B,100,79,51,24,76,38,11,75,29.6,94.2
CROSSTIMBERS ACADEMY,149,A,100,73,48,1,39,3,0,3.7,-1,93.4
POOLVILLE ISD,644,B,100,84,55,28,82,49,24,55.6,30,95.5
SPRINGTOWN ISD,3883,C,91,76,51,21,74,39,17,38.2,33.3,95.3
WEATHERFORD ISD,8005,B,97.1,75,52,24,72,39,16,41.3,46.2,93.2
MILLSAP ISD,1100,A,97.3,80,56,25,83,50,25,50,34.2,95.6
ALEDO ISD,7325,A,98.7,90,77,47,90,66,38,87,56.1,96.3
PEASTER ISD,1622,B,97.8,83,61,30,76,43,21,38.2,50,95.3
BROCK ISD,2002,A,99.1,91,76,41,90,65,31,83.2,50,96.2
GARNER ISD,244,B,,73,48,18,77,36,14,,,97.4
BOVINA ISD,458,A,100,74,47,15,72,38,18,100,10.5,96
FARWELL ISD,585,B,100,88,66,33,90,67,37,87.8,19.4,96.2
FRIONA ISD,1078,B,100,73,45,15,69,31,10,20,23.1,96.2
LAZBUDDIE ISD,164,B,87.5,83,54,20,78,39,16,100,14.3,96
BUENA VISTA ISD,240,B,100,85,58,29,85,46,17,100,36.4,95.9
FORT STOCKTON ISD,2230,B,92.5,67,39,15,65,31,13,3.4,20,83
IRAAN-SHEFFIELD ISD,323,B,100,71,43,20,64,22,8,28.6,-1,94.8
BIG SANDY ISD,529,B,97.4,80,52,18,81,43,14,91.9,32.4,95
GOODRICH ISD,244,C,100,66,38,11,55,24,10,37.5,16.7,95
CORRIGAN-CAMDEN ISD,817,A,98.3,77,51,22,74,39,16,57.6,14.7,96.1
LEGGETT ISD,219,B,100,62,35,11,48,17,7,35.3,16.7,96.3
LIVINGSTON ISD,4013,B,87.3,72,48,22,75,44,21,84.1,23.3,95.3
ONALASKA ISD,1213,B,96.6,84,56,24,85,50,20,59.6,38.2,94.7
AMARILLO ISD,30748,B,92.2,76,51,23,77,45,20,95.8,23.8,91.9
RIVER ROAD ISD,1340,B,89.7,73,46,18,72,37,14,98.9,7,92.7
HIGHLAND PARK ISD,826,A,98.3,84,57,24,79,45,19,43.9,32,93.9
BUSHLAND ISD,1546,A,99.2,88,71,39,88,58,29,84.3,32.4,96
MARFA ISD,270,B,96,75,47,21,67,31,13,33.3,25,94.9
PRESIDIO ISD,1046,B,87.5,68,42,14,72,40,16,75.6,19.1,90.7
RAINS ISD,1727,C,94.6,72,43,16,63,24,7,59.8,23.4,94.8
CANYON ISD,10659,A,96.2,86,65,34,88,60,30,94.9,22.4,94.7
REAGAN COUNTY ISD,812,B,95.7,72,49,23,69,36,12,92.6,6.3,94
BIG SPRINGS CHARTER SCHOOL,202,Not Rated: Senate Bill 1365,50,56,29,4,34,12,3,12.5,-1,86.3
LEAKEY ISD,328,B,80,78,49,22,73,40,18,46.2,16.7,96.5
AVERY ISD,358,A,100,83,64,27,86,59,30,47.8,27.3,95.7
RIVERCREST ISD,684,A,97.6,82,57,26,87,57,28,64.3,22.2,93.9
CLARKSVILLE ISD,522,C,94.3,61,32,11,45,19,4,70.6,4.2,93.1
DETROIT ISD,528,B,100,68,43,17,79,45,21,69.2,3.7,95.4
PECOS-BARSTOW-TOYAH ISD,2671,B,90.3,68,38,14,67,31,12,63,11.5,92
BALMORHEA ISD,148,B,100,71,42,15,57,16,6,90.9,5,94.8
AUSTWELL-TIVOLI ISD,131,B,100,79,48,18,81,41,21,83.3,40,93.7
WOODSBORO ISD,437,B,95.7,76,53,22,70,37,16,52,30.8,94
REFUGIO ISD,689,B,100,72,47,20,75,37,13,54.3,24,93.7
MIAMI ISD,196,A,100,95,64,30,90,53,29,100,0,96.2
BREMOND ISD,496,B,93.5,86,59,27,85,45,18,90.3,28.6,95.3
CALVERT ISD,142,B,90.9,60,28,4,56,18,5,41.7,0,95
FRANKLIN ISD,1347,A,96.5,91,73,41,96,73,39,68.7,43.9,96.5
HEARNE ISD,737,B,84.3,50,27,11,49,15,5,84.1,2.7,93.1
MUMFORD ISD,611,B,100,96,87,53,95,70,36,12.9,-1,97.8
ROCKWALL ISD,17818,A,99,87,68,35,86,61,33,57.2,60.4,97.1
ROYSE CITY ISD,7610,A,95.7,78,54,26,80,48,23,80.8,25.5,97.2
BALLINGER ISD,837,C,95.8,77,52,22,68,35,13,44.1,20,93
MILES ISD,486,A,100,90,72,35,92,77,48,93.5,51.7,96.1
WINTERS ISD,552,A,100,74,48,25,71,38,18,55.3,23.8,95
OLFEN ISD,141,A,100,81,48,18,73,42,23,71.4,0,96.6
HENDERSON ISD,3410,Not Rated: Senate Bill 1365,92.5,64,39,16,58,28,11,63.6,15.8,95.6
LANEVILLE ISD,156,A,92.3,80,52,14,87,64,28,50,0,97.1
LEVERETTS CHAPEL ISD,244,A,100,87,60,19,75,41,21,0,,94.6
MOUNT ENTERPRISE ISD,467,B,88.5,81,53,24,76,34,18,100,0,94.8
OVERTON ISD,473,B,100,79,48,23,74,40,14,17.2,20,95.6
TATUM ISD,1470,B,99.2,82,56,23,82,51,23,34.5,17.5,96
CARLISLE ISD,607,B,97.8,79,50,20,77,38,15,7.1,-1,95.1
WEST RUSK COUNTY CONSOLIDATED ISD,1038,B,100,77,54,23,78,40,14,41.8,25,95.6
HEMPHILL ISD,901,B,88.9,78,52,25,81,44,17,27.1,31.3,94.1
WEST SABINE ISD,559,B,100,69,44,16,70,29,11,75,25.9,92.7
SAN AUGUSTINE ISD,662,C,96.6,50,29,10,46,15,8,27.8,13.3,92.7
BROADDUS ISD,365,A,100,82,54,25,82,56,27,52.6,60,94.2
COLDSPRING-OAKHURST CISD,1586,Not Rated: Senate Bill 1365,92.5,64,40,15,58,23,9,30.3,30,90.4
SHEPHERD ISD,1909,B,94.6,62,36,14,66,32,12,44.7,23.6,92.9
ARANSAS PASS ISD,1674,C,98.1,75,46,19,62,26,10,16.7,41.2,93.5
GREGORY-PORTLAND ISD,4717,B,94.3,78,55,26,76,45,23,88.1,28.6,93.9
INGLESIDE ISD,1998,B,98.6,80,57,26,80,47,21,79.1,9.1,95.2
MATHIS ISD,1441,B,93,78,51,22,76,42,16,77.9,14.9,92.5
ODEM-EDROY ISD,837,B,100,74,47,18,66,31,11,12.9,25,92.1
SINTON ISD,2027,A,98.5,74,47,21,71,38,16,56.4,13.3,95.1
TAFT ISD,888,B,94.7,61,34,13,62,30,11,88.7,2.1,91.6
SAN SABA ISD,730,B,100,79,51,22,74,38,18,93.8,17.8,94.5
RICHLAND SPRINGS ISD,120,B,100,71,39,17,77,31,8,0,,95.4
CHEROKEE ISD,126,B,84.6,85,68,33,77,34,14,80,50,97.3
SCHLEICHER ISD,499,A,97.4,83,53,21,84,48,24,71.8,50,95.8
HERMLEIGH ISD,258,C,100,61,42,17,44,17,4,47.1,0,94.6
SNYDER ISD,2551,B,93.9,66,39,16,70,37,18,29.9,18.6,92.6
IRA ISD,275,A,100,92,79,39,93,70,43,100,7.7,98.1
ALBANY ISD,510,B,94.6,81,55,22,75,41,17,71.4,48,96.2
MORAN ISD,114,C,100,54,36,15,41,14,3,0,,89.5
CENTER ISD,2518,A,98.8,78,49,18,79,41,17,70.6,9.2,94.5
JOAQUIN ISD,681,A,95.5,85,62,26,87,51,20,76.2,12.5,94.7
SHELBYVILLE ISD,773,A,100,86,60,27,86,53,28,50.9,34.5,95.4
TENAHA ISD,472,A,100,70,48,17,78,43,21,35,28.6,95.3
TIMPSON ISD,643,B,97.8,67,38,14,71,25,7,64.4,17.2,94.8
EXCELSIOR ISD,68,C,,74,43,26,54,26,11,,,95.4
TEXHOMA ISD,108,A,,89,66,31,86,60,31,,,96.7
STRATFORD ISD,579,B,95.3,79,61,27,73,38,19,58.5,12.5,96
CUMBERLAND ACADEMY,1926,B,93,75,47,22,68,31,11,57.8,33.3,94.4
UT TYLER UNIVERSITY ACADEMY,853,A,97.9,93,79,49,86,63,32,26.1,58.3,97.7
ARP ISD,923,B,100,75,53,26,75,39,12,43.9,40,95.4
BULLARD ISD,2788,A,98,90,72,38,89,63,34,69.2,36.7,95.5
LINDALE ISD,4244,A,97.9,90,75,45,92,74,49,32.9,59,96
TROUP ISD,1050,A,100,85,65,35,84,54,26,25.8,31.3,93.8
TYLER ISD,18126,B,97,71,48,22,70,39,18,40.5,34.1,94.3
WHITEHOUSE ISD,4896,A,93.5,88,70,37,90,67,38,36.4,60.2,93.6
CHAPEL HILL ISD,3393,B,95.6,67,42,16,56,21,7,33.2,26,93.3
WINONA ISD,1077,B,92.1,75,52,24,69,39,17,100,5.3,93.5
BRAZOS RIVER CHARTER SCHOOL,182,B,66.7,54,31,0,50,10,10,0,,90.8
GLEN ROSE ISD,1982,A,97.2,89,68,34,82,48,21,72.1,40.6,95.8
RIO GRANDE CITY GRULLA ISD,9007,A,97.8,64,39,15,64,31,13,13.7,26.3,97.9
SAN ISIDRO ISD,190,B,100,76,47,18,71,25,6,50,20,99.1
ROMA ISD,5621,A,92.1,72,50,24,78,48,25,39.6,15.2,95.9
BRECKENRIDGE ISD,1414,B,96.1,70,44,18,73,38,21,46.2,16.7,94.8
STERLING CITY ISD,337,A,100,83,61,24,84,43,21,100,33.3,95.6
ASPERMONT ISD,184,A,95.2,84,66,31,78,46,22,57.1,25,97.5
SONORA ISD,684,A,100,86,61,27,80,51,24,64.8,17.1,95.9
HAPPY ISD,259,A,100,90,65,27,90,63,32,100,41.7,96.3
TULIA ISD,943,C,100,57,28,9,54,21,6,53,17.1,93
KRESS ISD,271,B,94.1,76,46,15,71,33,10,100,25,95.2
TREETOPS SCHOOL INTERNATIONAL,323,A,94.7,90,73,42,86,57,25,100,33.3,99
ARLINGTON CLASSICS ACADEMY,1526,A,,93,74,51,86,56,32,,,98.8
FORT WORTH ACADEMY OF FINE ARTS,653,A,100,95,77,47,86,50,21,50,54.5,96.7
WESTLAKE ACADEMY CHARTER SCHOOL,877,A,98.5,97,87,56,96,79,54,74.2,93.9,97.4
EAST FORT WORTH MONTESSORI ACADEMY,185,C,,83,56,34,53,22,3,,,95.3
TEXAS SCHOOL OF THE ARTS,293,B,,93,70,36,80,48,24,,,97.6
CHAPEL HILL ACADEMY,693,C,,71,40,23,55,25,11,,,95.6
NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,3032,B,97,79,53,25,67,31,12,100,14.2,96.2
HIGH POINT ACADEMY,1431,A,97.5,80,54,27,68,32,12,100,34.2,95.9
ARLINGTON ISD,55594,B,87.7,69,46,20,65,34,15,88.8,26.9,93.8
BIRDVILLE ISD,22447,B,91,76,53,25,75,44,21,60.7,43.6,95.7
EVERMAN ISD,5457,B,88.7,67,40,16,64,30,12,81.4,11.1,96.7
FORT WORTH ISD,74326,B,85.7,62,38,14,56,25,10,91.7,18.3,92.8
GRAPEVINE-COLLEYVILLE ISD,13930,A,95.7,88,73,43,86,62,34,88.1,56.1,97.7
KELLER ISD,34336,B,93.4,84,65,31,81,53,27,74.6,53.7,95.2
MANSFIELD ISD,35240,B,94.9,81,59,28,80,51,25,79.7,37.3,96
LAKE WORTH ISD,3632,Not Rated: Senate Bill 1365,92.9,56,29,9,45,16,6,38.3,20,91.7
CROWLEY ISD,16227,B,91.5,67,44,17,61,29,12,93,12,96.2
KENNEDALE ISD,2836,B,97,73,51,21,70,34,13,72,37.7,98.1
AZLE ISD,6864,B,93.2,78,54,25,77,44,20,59.4,36.8,91.4
HURST-EULESS-BEDFORD ISD,22814,A,97.7,84,64,33,86,60,32,35.3,57.9,97.4
CASTLEBERRY ISD,3636,B,92.8,68,41,17,66,29,11,85.4,11.3,96.4
EAGLE MT-SAGINAW ISD,22381,B,96.3,79,56,25,73,40,17,38.8,39.7,95.6
CARROLL ISD,8382,A,99.9,97,90,62,97,87,65,87,82.2,97.5
WHITE SETTLEMENT ISD,6981,B,91.4,74,51,24,71,38,17,89.9,19.9,93.4
TEXAS COLLEGE PREPARATORY ACADEMIES,15236,B,93.4,84,61,32,74,40,18,67.7,56.1,97.3
ABILENE ISD,15274,C,94.1,67,43,18,64,31,13,83.4,15.8,94.1
MERKEL ISD,1082,B,98.8,70,46,19,66,34,13,47.7,22,95
TRENT ISD,138,B,75,68,40,13,57,28,14,100,8.3,94.2
JIM NED CISD,1576,A,100,89,72,31,88,58,28,87.1,40.7,96.2
WYLIE ISD,5097,A,95.9,89,72,40,91,64,35,47.7,62.5,95.7
TERRELL COUNTY ISD,133,A,100,85,61,33,81,45,28,50,-1,95.8
BROWNFIELD ISD,1640,B,97.1,56,33,11,58,26,9,82.5,13.6,94.6
MEADOW ISD,270,B,100,72,43,16,59,30,14,100,11.8,96.2
WELLMAN-UNION CISD,284,A,100,84,57,24,83,55,28,93.3,21.4,96.2
THROCKMORTON COLLEGIATE ISD,156,B,100,67,35,10,44,18,2,100,0,96.4
WOODSON ISD,160,B,100,77,57,18,76,45,22,41.7,0,97.3
MOUNT PLEASANT ISD,5139,B,99.4,78,52,22,78,46,21,44.5,23.5,94
CHAPEL HILL ISD,1042,A,100,88,64,29,89,58,27,52.4,47.7,95.4
HARTS BLUFF ISD,804,C,,76,50,22,73,40,20,,,97.4
TEXAS LEADERSHIP PUBLIC SCHOOLS,3511,B,97.1,71,43,17,57,23,8,48.6,26.5,95.2
CHRISTOVAL ISD,562,A,100,91,73,34,88,53,19,53.8,38.1,95.6
SAN ANGELO ISD,13798,B,89.7,64,41,18,58,28,10,65.8,27.9,91.4
WATER VALLEY ISD,350,B,93.8,80,52,18,76,40,12,50,50,96.3
WALL ISD,1283,A,100,95,82,50,96,76,43,80,46.4,97.4
GRAPE CREEK ISD,1132,B,100,67,44,17,70,36,15,83.3,10,95.2
VERIBEST ISD,277,B,92.3,86,63,32,76,36,18,33.3,-1,95.7
UNIVERSITY OF TEXAS AT AUSTIN H S,666,B,,93,80,25,75,43,20,51.4,86.5,100
WAYSIDE SCHOOLS,1643,B,97.4,68,41,20,63,29,11,86.5,6.3,94.5
NYOS CHARTER SCHOOL,1422,B,90.5,85,66,36,79,44,23,67.2,64.1,96
TEXAS EMPOWERMENT ACADEMY,392,B,,69,43,15,62,25,11,100,5.9,96.5
UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,532,B,34.4,42,26,8,38,20,10,18.8,-1,94.2
CHAPARRAL STAR ACADEMY,354,A,93.1,97,89,56,96,79,51,73.1,84.2,99
HARMONY PUBLIC SCHOOLS - CENTRAL TEXAS,4224,B,95.3,74,52,25,72,42,22,43.5,41.1,96.8
CEDARS INTERNATIONAL ACADEMY,496,A,97,76,49,21,81,42,15,25,87.5,96.2
UNIVERSITY OF TEXAS ELEMENTARY CHARTER SCHOOL,302,B,,82,63,41,73,49,27,,,96.9
KIPP TEXAS PUBLIC SCHOOLS,32318,B,95.2,71,46,22,62,28,12,100,19.3,95.5
AUSTIN DISCOVERY SCHOOL,430,C,,86,64,40,59,23,9,,,95
VALERE PUBLIC SCHOOLS,1018,B,92.5,67,38,16,61,23,7,8.2,-1,91.7
AUSTIN ACHIEVE PUBLIC SCHOOLS,2312,B,84.5,55,31,9,58,19,7,100,9.5,92.6
MONTESSORI FOR ALL,470,C,,79,56,34,67,31,16,,,98.7
THE EXCEL CENTER - FOR ADULTS,844,Not Rated,26.4,51,31,3,45,14,0,0,,75.1
VALOR PUBLIC SCHOOLS,1378,A,,89,72,44,84,54,28,,,98
AUSTIN ISD,71883,B,96.3,75,57,31,70,42,22,92.6,44.8,95.2
PFLUGERVILLE ISD,25348,B,96,74,53,25,69,38,17,98.7,32.5,95.6
MANOR ISD,9029,C,92.3,63,38,13,48,20,8,77.2,11,93.1
EANES ISD,7809,A,99.4,95,84,52,95,77,48,79.3,86.6,97.7
DEL VALLE ISD,10853,B,94.4,59,35,12,56,25,10,84.2,13.5,96.5
LAGO VISTA ISD,1803,B,95.2,82,62,32,77,43,18,48.7,68.4,97.6
LAKE TRAVIS ISD,10953,B,94.6,88,71,37,86,60,33,83,71.2,97.2
GROVETON ISD,741,B,100,83,60,28,78,49,24,47.5,44.8,95
TRINITY ISD,1159,C,91.1,63,36,14,61,26,10,42.3,33.3,94.4
CENTERVILLE ISD,137,B,100,79,58,28,85,53,11,63.6,0,95.3
APPLE SPRINGS ISD,205,A,100,80,58,19,77,42,10,54.5,50,96.3
COLMESNEIL ISD,453,B,96.4,74,50,22,74,36,17,44.4,25,95.3
WOODVILLE ISD,1263,C,96.3,67,40,17,57,23,7,69.1,16.1,93.5
WARREN ISD,1262,B,97.3,75,54,25,73,39,17,54.2,43.6,94.1
SPURGER ISD,369,B,94.4,82,47,20,76,34,13,33.3,0,94.1
CHESTER ISD,212,B,91.7,85,56,27,87,47,17,60,0,94.4
BIG SANDY ISD,655,B,97.3,77,54,25,78,45,22,71.8,10.7,94.9
GILMER ISD,2676,A,88.7,76,51,23,79,50,25,66.5,11,93.3
ORE CITY ISD,861,B,95.9,76,49,20,63,25,9,47.1,15.2,93
UNION HILL ISD,284,B,100,80,50,21,73,32,14,28.6,30,93.8
HARMONY ISD,1036,B,98.7,87,66,30,84,50,25,47.4,45.9,95
NEW DIANA ISD,1214,B,98.5,89,67,34,85,52,22,46.3,29,93.7
UNION GROVE ISD,701,A,94.7,88,68,34,86,60,32,31,33.3,95.9
MCCAMEY ISD,521,B,100,72,41,19,65,30,11,96.4,14.8,93.7
RANKIN ISD,312,B,100,76,45,16,87,52,27,58.3,21.4,95.9
KNIPPA ISD,412,A,97,92,72,39,92,63,35,96.9,67.7,95.3
SABINAL ISD,393,B,94.7,75,46,19,71,34,14,61.1,22.7,93.7
UVALDE CISD,4103,B,88.3,63,38,15,52,21,7,79.1,14.7,88.7
UTOPIA ISD,212,B,100,81,56,20,69,34,17,100,36.4,95.5
SAN FELIPE-DEL RIO CISD,9851,B,84.5,71,47,18,71,37,15,24,34.5,92.6
COMSTOCK ISD,240,A,100,90,68,30,79,43,20,100,12.5,96.1
RANCH ACADEMY,75,Not Rated,65.4,71,57,0,50,17,8,6.7,-1,99.9
CANTON ISD,2273,A,96.7,87,64,33,85,50,22,43.8,48.4,96.4
EDGEWOOD ISD,1027,B,98.2,82,54,20,80,38,13,64.8,31.4,95.6
GRAND SALINE ISD,1173,B,97.4,73,47,18,74,42,18,73.1,14.3,94.4
MARTINS MILL ISD,511,B,100,83,61,30,85,52,25,87.5,46.4,96.4
VAN ISD,2366,A,96.1,79,56,25,80,48,23,77.3,21.8,95.8
WILLS POINT ISD,2628,C,92.9,70,43,17,63,31,12,27.7,41.5,93.9
FRUITVALE ISD,427,B,100,76,43,20,69,37,12,64,50,94.5
BLOOMINGTON ISD,825,B,78.6,59,33,11,48,18,6,30.9,11.8,89.4
VICTORIA ISD,13253,C,97.2,65,42,19,58,28,12,38.3,30.1,93.3
NURSERY ISD,136,A,,98,84,62,98,91,62,,,96.7
RAVEN SCHOOL,29,Not Rated,20.5,9,0,0,0,0,0,-1,,100
SAM HOUSTON STATE UNIVERSITY CHARTER SCHOOL,432,B,,91,72,42,90,64,32,,,96.8
NEW WAVERLY ISD,994,B,93.2,80,59,28,81,45,18,40,46.4,96.4
HUNTSVILLE ISD,15260,C,87.6,72,48,22,55,24,10,36,25.7,95.3
HEMPSTEAD ISD,1584,Not Rated: Senate Bill 1365,83.3,49,27,9,43,16,6,42.9,13.3,91.7
WALLER ISD,8367,B,92.7,70,45,19,70,33,12,92.3,18.4,95.5
ROYAL ISD,2572,B,91.5,59,34,14,63,30,11,23.2,21.2,93.9
MONAHANS-WICKETT-PYOTE ISD,2039,B,96.2,72,45,19,74,38,16,76.5,15.8,93
GRANDFALLS-ROYALTY ISD,147,Not Rated: Senate Bill 1365,90,59,22,8,44,21,6,10,-1,93.2
BRENHAM ISD,4866,B,94.3,70,47,22,74,44,21,34.6,41.5,94
BURTON ISD,519,A,100,86,65,33,90,63,35,100,11.1,97.1
TRIUMPH PUBLIC HIGH SCHOOLS-LAREDO,182,A,87.3,35,14,0,74,31,10,11,0,92.3
LAREDO ISD,19716,A,96.2,68,42,19,72,39,18,84.2,10,97.8
UNITED ISD,39243,A,97.2,79,55,25,79,48,23,44.2,28.7,97.5
WEBB CISD,264,B,94.4,72,46,20,67,33,10,52.9,33.3,94.9
BOLING ISD,1141,B,98.8,72,47,23,76,41,14,26.8,31.8,95.7
EAST BERNARD ISD,954,A,100,88,66,28,88,57,29,50,29.7,96.4
EL CAMPO ISD,3404,B,96.9,69,43,20,73,44,20,25.1,40,93.2
WHARTON ISD,1960,Not Rated: Senate Bill 1365,91.1,55,32,11,50,23,10,34.9,27.3,91.1
LOUISE ISD,518,B,96.6,78,48,21,79,37,16,35.5,18.2,94.8
SHAMROCK ISD,381,C,96.3,74,45,20,68,31,12,92,8.7,93.9
WHEELER ISD,406,A,96.9,88,63,27,91,57,21,74.2,13,96.8
KELTON ISD,137,B,-1,72,51,20,73,36,19,-1,-1,98.1
FORT ELLIOTT CISD,159,A,100,85,64,24,93,66,28,100,36.4,96.6
BURKBURNETT ISD,3307,B,91.7,68,42,17,71,39,17,88.4,26.3,95.2
ELECTRA ISD,454,B,91.7,73,47,17,73,42,20,45.8,45.5,95.5
IOWA PARK CISD,1921,A,97.8,86,63,29,84,58,27,42.4,33.9,96.5
WICHITA FALLS ISD,13371,B,96.7,66,42,17,66,33,14,34.1,44.6,94.9
CITY VIEW ISD,1121,B,98.6,79,53,23,76,36,15,35.6,38.5,95.9
HARROLD ISD,105,B,100,86,55,28,80,41,15,100,9.1,94.6
VERNON ISD,1862,Not Rated: Senate Bill 1365,95,61,34,11,61,28,11,47.8,27.3,93.5
NORTHSIDE ISD,236,B,100,82,52,22,81,40,17,76.9,10,97.5
LASARA ISD,327,B,100,78,52,19,64,26,8,28.6,16.7,94.1
LYFORD CISD,1428,A,97.5,73,46,19,62,25,10,94.8,5.5,87.9
RAYMONDVILLE ISD,1959,A,89,80,55,24,82,50,24,82,1.8,94.4
SAN PERLITA ISD,223,A,100,83,52,24,83,51,24,93.3,7.1,92
MERIDIAN WORLD SCHOOL LLC,1683,A,98.5,94,79,50,91,66,39,100,70.6,98.3
GOODWATER MONTESSORI SCHOOL,369,B,,70,48,25,54,24,8,,,95.2
FLORENCE ISD,1114,C,96.6,67,40,16,67,30,14,53.8,18.4,95.8
GEORGETOWN ISD,12566,B,93.9,70,46,20,63,30,12,90.1,32.4,94.1
GRANGER ISD,506,B,93.3,71,43,19,68,30,9,25,57.1,94.7
HUTTO ISD,8932,B,94,76,53,24,69,35,13,23.7,55.9,97
JARRELL ISD,2882,C,89.4,63,38,14,56,22,7,27.4,18.8,93.7
LIBERTY HILL ISD,6824,B,93.7,83,63,32,79,48,21,77.7,44.2,97.2
ROUND ROCK ISD,45990,B,95.9,84,68,41,80,57,35,97.3,55.2,97.5
TAYLOR ISD,3014,C,91.2,59,36,14,51,19,5,80.9,25.9,96.4
THRALL ISD,786,A,98.3,89,68,33,89,60,30,98.3,45.8,95.3
LEANDER ISD,41543,B,97.5,85,67,36,80,51,27,98.5,54,97
COUPLAND ISD,263,B,,81,52,30,75,46,20,,,97.7
FLORESVILLE ISD,4010,B,92,72,49,21,70,36,15,32.7,44,93.1
LA VERNIA ISD,3356,A,97.8,85,63,32,85,54,26,96.3,36.4,95.7
POTH ISD,909,A,91.3,93,76,41,92,70,37,67.5,37,97.3
STOCKDALE ISD,813,B,100,81,59,28,80,43,19,51,16,95.9
KERMIT ISD,1270,B,95.3,61,35,13,65,31,13,89,6.8,92.3
WINK-LOVING ISD,407,A,100,81,54,22,83,56,30,72.4,28.6,94.6
ALVORD ISD,786,B,98.1,86,64,34,87,57,25,51.1,25,96.4
BOYD ISD,1228,B,95.8,74,49,19,70,35,13,57,24.6,93.8
BRIDGEPORT ISD,2027,C,90.7,68,47,21,72,36,13,32.7,50,95.6
CHICO ISD,576,B,94.3,73,47,20,75,33,14,85.3,27.6,94.6
DECATUR ISD,3600,B,96.5,77,54,24,72,36,14,89.8,30.3,95.2
PARADISE ISD,1281,A,100,90,69,36,90,58,29,95.7,22.2,96.7
SLIDELL ISD,383,B,94.4,72,51,18,65,33,12,88.2,40,97.5
HAWKINS ISD,747,B,93.4,80,54,24,77,43,18,88.9,20.8,95.2
MINEOLA ISD,1631,A,95.8,82,56,25,84,50,21,38.5,26.7,95.5
QUITMAN ISD,1176,A,100,82,59,25,78,41,18,49.4,34.2,96.1
YANTIS ISD,368,C,92.3,75,47,15,73,34,14,4,-1,93.8
ALBA-GOLDEN ISD,857,B,96.9,84,54,21,75,33,13,44.3,33.3,95.8
WINNSBORO ISD,1532,B,99,76,53,23,70,37,15,47.9,26.1,95.5
DENVER CITY ISD,1596,B,96.9,74,49,21,71,39,17,81.7,24.3,95.6
PLAINS ISD,410,B,100,69,43,17,73,35,16,87.1,18.5,94.1
GRAHAM ISD,2293,A,99.3,77,53,22,79,51,24,51.3,50.6,98
NEWCASTLE ISD,212,A,100,87,58,29,85,54,28,77.8,7.1,95.4
OLNEY ISD,696,A,88.9,83,61,30,81,55,25,93.8,23.3,95.6
ZAPATA COUNTY ISD,3284,B,93.3,59,34,13,59,30,14,74.1,8.3,92.1
CRYSTAL CITY ISD,1779,B,94.8,60,32,10,53,19,6,15.3,5.9,88.8
LA PRYOR ISD,484,B,90.7,73,44,15,67,30,11,100,0,90.6