DISTRICT NAME,TOTAL STUDENTS,SAT-AVERAGE SCORE (2021-2020),AVERAGE SALARY: TEACHER,Total OPERATING AND OTHER REVENUE PER PUPIL,Total OPERATING REVENUE (2020-21),TOTAL ACTUAL OPERATING EXPENDITURES (2020-21),TOTAL ACTUAL OPERATING EXPENDITURES PER PUPIL,TOTAL ACTUAL INSTRUCTIONAL EXPENDITURES,TOTAL ACTUAL INSTRUCTIONAL EXPENDITURES PER PUPIL
CAYUGA ISD,574,980,55570,19814,10525571,8878441,16595,4405076,8234
ELKHART ISD,1150,979,47916,13787,15623002,13694502,11412,8261144,6884
FRANKSTON ISD,808,980,50382,13845,9815575,9568092,12458,5184733,6751
NECHES ISD,342,1007,55346,14925,4573108,4709122,13932,2529704,7484
PALESTINE ISD,3360,1048,48825,17549,45806947,43017866,12660,23492731,6914
WESTWOOD ISD,1332,990,44741,13538,18204035,17289992,12788,8750034,6472
SLOCUM ISD,361,-1,53637,14588,5164875,4665786,12748,2880203,7869
ANDREWS ISD,4131,1041,62805,13569,44889510,47174612,11447,26750075,6491
PINEYWOODS COMMUNITY ACADEMY,995,1132,53037,11489,11036573,9891877,9932,5803726,5827
HUDSON ISD,2799,1109,54054,12268,32194381,28995467,10471,16963757,6126
LUFKIN ISD,7318,942,52619,14825,95191197,92600363,12520,51765304,6999
HUNTINGTON ISD,1612,1029,51033,12981,19541698,17543484,11174,9344402,5952
DIBOLL ISD,1744,957,54453,16346,22604825,22244301,13016,12305080,7200
ZAVALLA ISD,300,1028,57015,17601,4717700,4746755,15823,2752102,9174
CENTRAL ISD,1451,957,55145,12815,17719978,15359031,10636,8101586,5611
ARANSAS COUNTY ISD,3005,977,54977,13337,38429961,35981574,11958,19297890,6413
ARCHER CITY ISD,506,1056,55742,16510,7059532,6905033,13783,4087736,8159
HOLLIDAY ISD,1126,1125,56425,12906,12388827,10518615,9877,6477567,6082
WINDTHORST ISD,530,1031,53076,13389,5633549,5151685,11870,3014746,6946
CLAUDE ISD,307,,46591,13914,4232228,3922237,12452,2040243,6477
CHARLOTTE ISD,397,917,57893,19196,7132400,7042430,16808,3682513,8789
JOURDANTON ISD,1569,1006,59464,15108,20057316,17546942,11248,10140960,6501
LYTLE ISD,1740,1013,57421,12902,20841304,21392991,12183,12103399,6893
PLEASANTON ISD,3374,992,59862,15213,46926064,42593337,12414,24094826,7023
POTEET ISD,1676,867,51774,12784,18625232,17653216,11026,9770825,6103
BELLVILLE ISD,2191,1117,54109,13481,25799135,24369572,11158,13943980,6385
SEALY ISD,2814,1025,55027,12516,30655693,30000016,10703,16282010,5809
BRAZOS ISD,766,963,53874,15723,11322955,9849602,12405,5093142,6415
MULESHOE ISD,1347,895,48228,15147,19179772,19030298,14244,11016980,8246
MEDINA ISD,265,1041,46394,23733,5779760,5096844,18670,2732435,10009
BANDERA ISD,2301,1058,54438,11995,24432441,23235764,10485,12657666,5712
BASTROP ISD,11947,928,55921,12470,121266695,120831076,10650,73090356,6442
ELGIN ISD,4985,885,55622,14067,56420871,54414586,11791,28993787,6283
SMITHVILLE ISD,1780,995,52134,14639,22725386,21015106,12036,10856365,6218
MCDADE ISD,319,868,48329,14838,4763595,4244597,12785,2411650,7264
SEYMOUR ISD,618,-1,50186,14392,8427246,7554849,12264,4152604,6741
ST MARY'S ACADEMY CHARTER SCHOOL,401,,49990,13897,5433150,5233228,13384,2558403,6543
BEEVILLE ISD,2996,1011,54063,12060,36596267,34292103,10918,18257276,5813
PAWNEE ISD,498,,58281,23851,6745064,5697684,18088,2734803,8682
PETTUS ISD,377,-1,54543,20691,6108709,6003720,16139,3333308,8961
SKIDMORE-TYNAN ISD,785,1040,52851,16689,12200278,10104103,12567,5307109,6601
RICHARD MILBURN ALTER HIGH SCHOOL - KILLEEN,1590,-1,51242,9428,17499287,15183488,8181,7053916,3801
PRIORITY CHARTER SCHOOLS,836,-1,46333,12575,10508434,9350406,11052,4735670,5598
ORENDA CHARTER SCHOOL,1900,1103,53578,10828,20010043,15326275,8293,8383544,4537
ACADEMY ISD,1749,1043,51561,11840,18471582,16697912,9708,9744707,5666
BARTLETT ISD,394,913,52102,16606,6132531,5028450,13233,2618555,6891
BELTON ISD,13298,985,55968,12798,141917762,142961592,11368,77515363,6164
HOLLAND ISD,656,1034,52516,18652,11462359,9691921,14819,4975600,7608
KILLEEN ISD,43839,977,57315,12271,509570529,449899163,10271,263809826,6023
ROGERS ISD,893,1024,52342,13138,10764439,9674234,10858,5345980,6000
SALADO ISD,2233,1142,54213,12656,21026817,19801948,9425,11266365,5362
TEMPLE ISD,8395,921,55849,14320,104788890,94764360,11335,54149602,6477
TROY ISD,1636,998,53416,13348,17835545,16188626,10331,9179300,5858
POR VIDA ACADEMY,124,,52073,39319,5347318,5128909,37713,3111760,22881
GEORGE GERVIN ACADEMY,776,780,45481,14464,12583565,12293668,14131,5438960,6252
NEW FRONTIERS PUBLIC SCHOOLS INC,149,1006,54962,14547,7055533,5985561,12341,3182404,6562
LEGACY TRADITIONAL SCHOOLS - TEXAS,353,-1,45846,19158,6782038,6446730,18211,2491439,7038
SOUTHWEST PREPARATORY SCHOOL,794,962,50998,16324,13875022,13176320,15502,6610571,7777
INSPIRE ACADEMIES,636,945,60647,23245,13365826,9385262,16322,4575296,7957
BEXAR COUNTY ACADEMY,261,,37530,13931,3817189,3940749,14382,2211954,8073
POSITIVE SOLUTIONS CHARTER SCHOOL,93,,41240,14235,1693991,1585246,13321,900089,7564
HERITAGE ACADEMY,572,914,52159,14617,7789738,6395957,10366,3764894,6102
JUBILEE ACADEMIES,5764,826,50958,12526,77234031,64513201,10463,31655765,5134
LIGHTHOUSE PUBLIC SCHOOLS,408,,55196,12841,4147581,3280534,10156,1667939,5164
SCHOOL OF SCIENCE AND TECHNOLOGY,3972,1081,59578,10871,35592167,33987941,10381,21595155,6596
HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,4459,1021,61773,12466,55261076,51201033,11550,29748646,6711
BROOKS ACADEMIES OF TEXAS,3141,925,57077,12179,35542005,34857601,11321,24004186,7796
SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,5288,960,59096,10572,50798204,46804083,9741,30041663,6252
HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,93,964,50104,9855,1005238,1011651,9918,424327,4160
BASIS TEXAS,3421,1344,,10581,31616623,26965542,8847,12701337,4167
GREAT HEARTS TEXAS,8136,1176,45149,11088,73645220,64765768,9751,34379825,5176
ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,489,,45789,10143,4710760,3362128,7215,2081874,4468
COMPASS ROSE PUBLIC SCHOOLS,1836,,52529,14390,16606636,14796911,12822,5858827,5077
PROMESA ACADEMY CHARTER SCHOOL,262,,54211,15061,2952039,2581001,13168,1503856,7673
SAN ANTONIO PREPARATORY SCHOOLS,205,,58897,16312,3523306,3573520,16544,1921682,8897
THE GATHERING PLACE,465,,50688,15531,5353947,4513008,12968,2988402,8587
ROYAL PUBLIC SCHOOLS,111,,51076,,,,,,
PRELUDE PREPARATORY CHARTER SCHOOL,30,,54340,,,,,,
ALAMO HEIGHTS ISD,4788,1180,59250,14931,51851572,51280537,10626,30262612,6271
HARLANDALE ISD,12078,905,59926,16810,148661551,167260811,13369,96774774,7735
EDGEWOOD ISD,8383,905,58698,14966,126484234,115033242,12575,56067804,6129
RANDOLPH FIELD ISD,1458,1034,65049,15057,21697093,19053793,13223,10474577,7269
SAN ANTONIO ISD,44568,919,56808,15554,596699395,613121718,13393,322733212,7050
SOUTH SAN ANTONIO ISD,7919,891,58565,14402,94601623,98257324,11890,52790792,6388
SOMERSET ISD,3955,868,58175,13423,50769926,45615530,11350,23413841,5826
NORTH EAST ISD,59445,1072,61399,12444,615009180,623707419,10357,368147525,6113
EAST CENTRAL ISD,10002,1016,59900,11005,97046485,94873188,9719,55764931,5712
SOUTHWEST ISD,13165,858,59400,13721,164151451,161128739,11981,90518953,6731
LACKLAND ISD,910,1027,65227,24557,21789487,16422225,18493,9513656,10714
FT SAM HOUSTON ISD,1635,999,62283,20215,30271452,26593393,17741,14788481,9866
NORTHSIDE ISD,101584,1005,61396,11967,978493042,1025463998,9990,629148981,6129
JUDSON ISD,24517,917,56707,11831,238299255,228071519,9581,139685193,5868
SOUTHSIDE ISD,5516,868,63357,14893,75470008,70112088,12536,35843002,6409
JOHNSON CITY ISD,697,1043,54930,16768,8217131,8570086,14049,4757013,7798
BLANCO ISD,1058,975,53860,16666,14431782,12657647,12557,6591870,6540
BORDEN COUNTY ISD,245,1174,66515,47394,7560891,6052892,26203,2606092,11282
CLIFTON ISD,1024,999,53770,15835,12646488,11623993,12096,6823622,7101
MERIDIAN ISD,392,-1,52928,18825,7330440,7013528,16819,3860827,9259
MORGAN ISD,139,894,45660,17833,2399702,1998862,14698,1146142,8428
VALLEY MILLS ISD,618,951,51267,14077,7719571,7281379,11801,4215309,6832
WALNUT SPRINGS ISD,178,-1,51637,16424,2746471,2299048,13604,1323197,7830
IREDELL ISD,133,-1,51206,19405,2451523,2055219,14272,1217691,8456
KOPPERL ISD,179,948,52875,16090,2944487,2654177,14504,1217852,6655
CRANFILLS GAP ISD,132,890,49259,19058,2434764,2275305,17638,1174302,9103
DEKALB ISD,783,-1,51239,17756,11303569,9678600,12802,5373980,7108
HOOKS ISD,886,-1,50507,16023,12459008,11010874,13046,6157136,7295
MAUD ISD,474,,54422,14365,6794864,6137735,12840,3423491,7162
NEW BOSTON ISD,1196,-1,53992,17738,19694073,16024823,13650,10018178,8533
REDWATER ISD,1099,-1,53147,13026,13685079,12596739,11400,7665497,6937
TEXARKANA ISD,7126,1148,52270,12185,86926812,84721607,11069,50531399,6602
LIBERTY-EYLAU ISD,2131,-1,53381,19971,29066055,28330418,12415,16064298,7040
SIMMS ISD,473,,52695,17317,7584434,5939003,12322,3435246,7127
MALTA ISD,208,,48657,12026,2561074,1677003,7658,1124430,5134
RED LICK ISD,500,,52475,11699,5672871,5024664,9738,3133843,6073
PLEASANT GROVE ISD,2313,1087,49252,13386,23515184,23206641,10435,13338480,5998
HUBBARD ISD,69,,45552,21645,1663681,1149065,14923,738411,9590
LEARY ISD,105,,44425,18087,1862912,1188916,11543,738960,7174
ALVIN ISD,27955,1017,64483,14197,331435214,281707077,10511,172027356,6419
ANGLETON ISD,6748,990,61767,14767,83996013,77673668,11376,41921588,6140
DANBURY ISD,772,1044,63469,15818,10449829,9515058,12619,5296657,7025
BRAZOSPORT ISD,11451,994,60828,16310,143126025,139102380,12206,77326113,6785
SWEENY ISD,1851,968,62826,16462,24211163,23948702,12966,12975188,7025
COLUMBIA-BRAZORIA ISD,2911,983,58774,11714,30042276,30733461,10735,16904776,5905
PEARLAND ISD,20930,1150,63849,12423,205043257,209243979,9970,119629456,5700
DAMON ISD,116,,55780,27532,3138412,1915752,16659,993103,8636
BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,330,,47336,15059,4473005,3926518,12008,2116179,6471
ARROW ACADEMY,609,,55813,14489,10012173,8911863,12897,4069056,5889
COLLEGE STATION ISD,14138,1163,53157,12399,139250581,142902179,10497,84323516,6194
BRYAN ISD,16005,959,52849,14613,185164571,188539536,11990,109281641,6950
TERLINGUA CSD,111,930,47311,23434,2289290,1840677,18782,952267,9717
ALPINE ISD,970,1047,48863,15828,13422326,13110511,13488,6620634,6811
MARATHON ISD,57,-1,49685,29382,1742340,1646411,27440,937017,15617
SAN VICENTE ISD,9,,58998,214078,1067388,892337,178467,274770,54954
SILVERTON ISD,187,-1,48289,25161,2858937,2766553,14794,1604451,8580
BROOKS COUNTY ISD,1340,-1,56095,19583,24878614,21392385,14908,11173212,7786
BANGS ISD,869,1048,46387,13199,10255655,9058616,10888,4938765,5936
BROWNWOOD ISD,3448,979,50258,12116,39268976,37791690,11002,22319616,6498
BLANKET ISD,147,919,44552,17919,2460132,2157333,15086,1107222,7743
MAY ISD,227,1011,48716,17757,3968726,3446695,13623,1875628,7414
ZEPHYR ISD,212,-1,47591,15823,2889644,2497642,12551,1337906,6723
BROOKESMITH ISD,191,,54585,18500,2831158,2667697,16884,1316764,8334
EARLY ISD,1136,1144,51581,14539,15040118,13984694,12343,8282716,7310
CALDWELL ISD,1833,1020,52894,15697,23513656,20346926,11976,11692320,6882
SOMERVILLE ISD,541,870,53895,17796,8095915,6877696,13329,3810329,7384
SNOOK ISD,529,895,53830,20558,7467840,7409668,15153,3465419,7087
BURNET CISD,3262,1012,54521,14488,38593389,36214961,11694,19792341,6391
MARBLE FALLS ISD,3995,901,53080,13899,46635331,47204503,11567,26006378,6373
LOCKHART ISD,6117,893,54420,12526,70332671,62483390,10369,37272469,6185
LULING ISD,1425,937,54024,12523,15805617,14400263,10227,7632861,5421
PRAIRIE LEA ISD,235,870,49201,14400,3132561,2831769,12813,1442685,6528
CALHOUN COUNTY ISD,3561,1058,55076,14538,43254650,42080450,11494,22485588,6142
CROSS PLAINS ISD,378,-1,51886,15363,5449840,4823640,13399,2825329,7848
CLYDE CISD,1431,1116,50825,12772,15889189,16069646,11536,9068758,6510
BAIRD ISD,293,,48473,19059,4854115,4297762,15404,2174632,7794
EULA ISD,462,-1,47473,15423,6421665,5738633,12640,3439151,7575
BROWNSVILLE ISD,38412,992,61814,13555,535407429,499120480,12252,277573985,6814
HARLINGEN CISD,17022,1015,57342,13001,219241115,211589621,11845,119150473,6670
LA FERIA ISD,2908,1078,55324,13397,38860793,37134999,12002,19814901,6404
LOS FRESNOS CISD,10333,1053,57506,13381,131221115,116710013,11092,67015989,6369
POINT ISABEL ISD,1968,864,55959,14455,28182347,24865264,12001,11939410,5762
RIO HONDO ISD,1602,905,53289,15288,22525701,20500673,11850,9349065,5404
SAN BENITO CISD,9201,837,58613,15637,143189241,119445472,12287,62667310,6447
SANTA MARIA ISD,543,,49268,19454,10931146,10450972,17360,5961241,9902
SANTA ROSA ISD,848,947,52221,19631,16293234,14132497,15131,7115559,7618
SOUTH TEXAS ISD,4251,1110,64976,17957,74883483,60893811,14519,31703383,7559
PITTSBURG ISD,2352,960,48767,12084,26381677,25879434,11041,14642454,6247
GROOM ISD,143,,49463,27397,2697223,2402450,17536,1305684,9531
PANHANDLE ISD,663,1023,50216,16097,8163622,8342648,12526,4627351,6948
WHITE DEER ISD,339,,51050,15625,4947977,4294909,11515,2270198,6086
ATLANTA ISD,1906,,48293,14613,25974800,22722723,12356,12130539,6596
AVINGER ISD,137,,50590,17820,2488025,1902428,13589,1095023,7822
HUGHES SPRINGS ISD,1146,,52749,12740,14216537,13560117,12096,8196761,7312
LINDEN-KILDARE CISD,638,,46141,14543,8923153,8597694,13734,4880683,7797
MCLEOD ISD,399,-1,52152,12477,4928273,4572929,11577,2816927,7131
QUEEN CITY ISD,933,-1,50513,20326,13361150,12399570,12930,6442746,6718
BLOOMBURG ISD,240,,50872,14265,3450505,3460803,13899,1952689,7842
DIMMITT ISD,1153,-1,47132,15129,15127988,16523542,13991,8975667,7600
HART ISD,209,,44880,18569,3738989,2931794,13829,1545800,7292
NAZARETH ISD,250,1058,53574,15382,3707802,2920231,11681,1540100,6160
ANAHUAC ISD,1389,993,58656,14977,17125936,16609873,12555,8940186,6758
BARBERS HILL ISD,6796,1054,75530,22371,105772748,111391197,17378,49659280,7747
EAST CHAMBERS ISD,1540,1037,57652,16142,19986753,18742456,12445,10264669,6816
ALTO ISD,556,934,54564,18466,9607158,8239828,13530,4835996,7941
JACKSONVILLE ISD,4735,-1,53508,14484,58224821,52758365,11331,30189388,6484
RUSK ISD,2001,1057,52204,12642,23823882,23583522,11977,13517857,6865
NEW SUMMERFIELD ISD,538,838,53152,17221,8534578,7671313,14502,4147032,7839
WELLS ISD,258,909,52027,16267,3999396,3696947,14057,2036086,7742
CHILDRESS ISD,1013,,48982,14566,14383701,12262146,12299,6448425,6468
HENRIETTA ISD,942,1012,50195,15073,12468878,12498716,13795,6648753,7339
PETROLIA CISD,461,-1,51851,15705,6481869,6100117,13708,3377908,7591
BELLEVUE ISD,151,952,51972,20822,2338590,2090449,14417,1272945,8779
MIDWAY ISD,131,-1,49536,24120,2565490,2401971,18197,1454137,11016
MORTON ISD,360,-1,56678,15777,5786616,5815645,15550,3301767,8828
WHITEFACE CISD,313,-1,53963,22534,5540123,5043948,14879,2605104,7685
BRONTE ISD,238,1111,48987,14601,3504133,3387245,14114,1845297,7689
ROBERT LEE ISD,262,-1,49084,18934,3640025,3747753,14697,1849952,7255
COLEMAN ISD,800,-1,49657,15411,12854962,11234470,13390,5518487,6577
SANTA ANNA ISD,253,894,50069,16857,4353226,3674473,13918,2097679,7946
PANTHER CREEK CISD,165,-1,53949,19380,2881372,2454440,15734,1420660,9107
IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,1386,1236,,9227,13231420,11176356,7794,6400538,4463
LONE STAR LANGUAGE ACADEMY,146,,52917,9467,1950102,1756192,8525,955442,4638
ALLEN ISD,21420,1178,61884,12828,211051998,210666806,9769,122875781,5698
ANNA ISD,4436,998,57264,13504,44895818,43477803,10971,26058771,6576
CELINA ISD,3351,1142,56843,14098,32386605,31978638,10818,17313596,5857
FARMERSVILLE ISD,2018,1078,63893,14382,22806985,21319172,11376,12416289,6626
FRISCO ISD,65617,1156,62711,12096,623237843,598930270,9454,376004240,5935
MCKINNEY ISD,23238,1068,63614,13875,249508023,251400936,10803,153341787,6589
MELISSA ISD,4859,1080,55753,12635,42368669,38786996,9504,24564676,6019
PLANO ISD,49241,1128,60687,13519,516624113,524368550,10500,336011186,6728
PRINCETON ISD,6765,1043,58939,12371,61296683,56428245,9721,33870859,5835
PROSPER ISD,21700,1137,61844,13303,198137631,187460357,9834,118772556,6231
WYLIE ISD,18155,1075,62353,12031,174305937,169041152,9704,102077199,5860
BLUE RIDGE ISD,958,976,57102,15968,12423433,10678668,12039,5598846,6312
COMMUNITY ISD,3335,909,57696,13216,30187080,28311095,10321,14372720,5240
LOVEJOY ISD,4335,1185,58349,13972,43678368,46886671,11185,25023008,5969
WELLINGTON ISD,542,,52321,14606,7906525,7289623,13449,3947581,7283
COLUMBUS ISD,1555,912,51633,12840,18052389,17325827,11414,9852292,6490
RICE CISD,1272,,54637,13966,15922647,15674640,12198,8652423,6733
WEIMAR ISD,684,1007,50616,15258,9102615,8465962,12769,4691576,7076
TRINITY CHARTER SCHOOL,347,,53900,21293,8487090,8112343,20281,4786177,11965
NEW BRAUNFELS ISD,9638,1095,56963,12259,90178612,81647828,8834,45537068,4927
COMAL ISD,27190,1038,56581,12295,242633607,244735106,9647,140315767,5531
COMANCHE ISD,1303,1068,48768,14399,18059092,14804766,11267,9033582,6875
DE LEON ISD,740,-1,50130,16693,11734285,9264411,12553,4994700,6768
GUSTINE ISD,145,-1,44636,33706,2838210,2763321,18422,1197791,7985
SIDNEY ISD,128,-1,46657,16793,2232465,1848873,13113,1012135,7178
EDEN CISD,222,,53642,24238,4450774,3135605,13516,1621984,6991
PAINT ROCK ISD,225,853,48784,20716,4308884,3757034,15920,1877549,7956
GAINESVILLE ISD,3138,983,52949,12719,37247704,31669691,10414,17365146,5710
MUENSTER ISD,523,1085,50573,15604,6289689,5890333,11482,3215301,6268
VALLEY VIEW ISD,941,1042,54216,17441,13898422,12355633,14056,6478477,7370
CALLISBURG ISD,1140,1026,53696,12761,13094188,12097453,10715,6491520,5750
ERA ISD,493,,55305,15723,6984135,5569792,11851,2864924,6096
LINDSAY ISD,482,1021,50879,12270,5937098,5587248,11496,2867918,5901
WALNUT BEND ISD,56,,52737,22566,1294925,1010082,17415,488691,8426
SIVELLS BEND ISD,63,,54078,28039,1336336,1064461,21724,519202,10596
EVANT ISD,213,-1,47151,14340,3882796,3531120,12935,1773418,6496
GATESVILLE ISD,2689,1003,51181,11806,30661252,28294593,10182,15660513,5635
OGLESBY ISD,198,934,49698,15069,2767681,2611858,14118,1361193,7358
JONESBORO ISD,338,,48754,14718,4501233,3572771,11415,1985731,6344
COPPERAS COVE ISD,8102,956,54312,12007,94736537,83179294,10338,47069734,5850
PADUCAH ISD,161,,52684,17142,3088113,2897336,15832,1565520,8555
CRANE ISD,1151,829,58449,14082,13863004,17035902,15530,9455874,8620
CROCKETT COUNTY CONSOLIDATED CSD,729,-1,49285,26161,13852757,10833927,14218,6092547,7995
CROSBYTON CISD,329,,49464,24135,6924159,5236246,16570,2850060,9019
LORENZO ISD,237,,47346,21417,4808889,4770713,20924,2340444,10265
RALLS ISD,484,-1,48024,15201,7017199,7027467,15211,3730793,8075
CULBERSON COUNTY-ALLAMOORE ISD,360,807,54825,65613,9985451,6648091,17179,3066642,7924
DALHART ISD,1717,-1,49983,11909,18289277,17285583,10618,9966020,6122
TEXLINE ISD,213,,50887,15969,3007187,2537427,12815,1415714,7150
PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES,486,,61862,13736,6950630,6459415,12766,2810173,5554
UPLIFT EDUCATION,22183,1139,63523,11848,254959729,237905987,11055,130842204,6080
TEXANS CAN ACADEMIES,5037,826,59714,14095,65949992,57903164,12375,22336328,4774
LUMIN EDUCATION,250,,48713,15001,3803298,4176169,16313,1907921,7453
ADVANTAGE ACADEMY,1138,898,51836,13594,16368502,11537246,9559,4375024,3625
LIFE SCHOOL,5558,909,55547,12136,67319664,58864673,10612,30039402,5415
UNIVERSAL ACADEMY,2055,949,56701,10982,26323154,18768267,7830,10874204,4537
NOVA ACADEMY,124,,56566,9245,1127936,1426233,11690,806838,6613
ACADEMY OF DALLAS,245,,39472,12479,4255262,3799821,11143,2027103,5945
TRINITY BASIN PREPARATORY,4211,,54918,13076,54775369,41750500,9967,25288577,6037
ACADEMY FOR ACADEMIC EXCELLENCE,297,,62497,40328,8473791,8302154,26955,5762071,18708
A W BROWN LEADERSHIP ACADEMY,1067,,51912,11957,16408169,17351752,12546,7850334,5676
JEAN MASSIEU ACADEMY,202,-1,58148,12996,2534203,1950548,10003,1070217,5488
NOVA ACADEMY SOUTHEAST,535,,53705,10697,6557048,6153663,10039,2803419,4573
WINFREE ACADEMY CHARTER SCHOOLS,1068,923,52026,8923,11385155,10059376,7884,4795907,3759
A+ ACADEMY,1551,889,62481,11967,17412243,16761913,11520,8399603,5773
INSPIRED VISION ACADEMY,1271,902,60129,11939,15401720,14783519,11460,7519576,5829
GATEWAY CHARTER ACADEMY,654,,45990,11946,9354044,7303480,9328,2606207,3328
EDUCATION CENTER INTERNATIONAL ACADEMY,501,,51621,13483,7321427,6006189,11061,3250783,5987
EVOLUTION ACADEMY CHARTER SCHOOL,669,1010,58756,12607,8383662,6104867,9180,3223392,4847
GOLDEN RULE CHARTER SCHOOL,1557,,49485,12415,19292224,16731628,10767,9221055,5934
ST ANTHONY SCHOOL,316,,57023,11102,3581767,3828785,11709,1856630,5678
LA ACADEMIA DE ESTRELLAS,985,,65930,12081,12286807,10574091,10397,6556800,6447
RICHLAND COLLEGIATE HIGH SCHOOL,336,1110,,9623,4792144,4015271,8063,2017950,4052
CITYSCAPE SCHOOLS,1256,,59067,13548,16269783,14087468,11701,7590621,6305
MANARA ACADEMY,541,1024,53624,11099,7313954,6235047,9461,3450147,5235
UME PREPARATORY ACADEMY,1365,1053,40595,10295,13074631,10208441,8038,5560238,4378
LEGACY PREPARATORY,1464,824,52684,12699,19212916,15680484,10364,9457543,6251
VILLAGE TECH SCHOOLS,1232,974,52327,10000,12030130,10098709,8395,5219262,4339
INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),20535,968,51138,11470,239112720,187069922,8971,99710024,4782
PIONEER TECHNOLOGY & ARTS ACADEMY,2226,990,47427,11997,20503410,20655566,12086,9047680,5294
BRIDGEWAY PREPARATORY ACADEMY,96,,50033,12820,1294774,1211775,11998,483486,4787
CARROLLTON-FARMERS BRANCH ISD,24888,972,61432,14322,304242050,292734570,11802,170225307,6863
CEDAR HILL ISD,7112,888,57989,12232,74309701,74794476,10316,42402618,5849
DALLAS ISD,143430,911,64020,15120,1825032689,1805553229,12443,959633376,6613
DESOTO ISD,7339,887,56955,14485,97323562,86123431,10866,42989103,5424
DUNCANVILLE ISD,11944,927,57901,13146,132210456,135969395,11580,69432843,5913
GARLAND ISD,52960,957,60720,11655,557255726,580356202,10780,332277827,6172
GRAND PRAIRIE ISD,27284,918,61645,13372,327157457,291719277,10365,166926612,5931
HIGHLAND PARK ISD,6666,1307,55481,15716,71371199,73193461,11093,42608570,6458
IRVING ISD,32339,900,64815,12745,374179017,380632488,11654,220504222,6752
LANCASTER ISD,6978,936,60345,13738,81507010,71366839,9947,39118749,5452
MESQUITE ISD,38311,922,62655,12271,398229893,351066523,9129,212781409,5533
RICHARDSON ISD,37358,1167,58618,13347,412027687,417852164,11084,250691126,6650
SUNNYVALE ISD,2104,1098,61185,13601,20862744,22072645,10927,13775625,6820
