DISTRICT NAME,STAAR: % ALL SUBJECTS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MEETS GRADE LEVEL STANDARD OR ABOVE, STAAR: % ALL SUBJECTS AT MASTERS GRADE LEVEL STANDARD,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD,STAAR: % WRITING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % WRITING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % WRITING AT MASTERS GRADE LEVEL STANDARD,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD,STAAR: % SCIENCE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MASTERS GRADE LEVEL STANDARD,STAAR: % SOCIAL STUDIES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % SOCIAL STUDIES AT MEETS GRADE LEVEL STANDARD OR ABOVE, STAAR: % SOCIAL STUDIES AT MASTERS GRADE LEVEL STANDARD
BENJAMIN ISD,75,46,23,77,52,30,47,24,0,74,49,23,88,41,15,70,39,22
CHISUM ISD,82,54,24,82,59,27,71,38,16,81,49,22,87,57,18,88,61,35
PARIS ISD,65,38,17,65,41,16,53,24,10,66,37,18,68,37,17,68,44,22
NORTH LAMAR ISD,74,46,20,71,47,19,64,34,11,76,43,19,77,51,22,79,56,33
PRAIRILAND ISD,79,50,19,81,53,18,60,35,6,83,53,23,84,49,18,73,45,24
AMHERST ISD,52,25,5,67,31,3,33,17,0,37,21,5,52,26,7,58,26,16
LITTLEFIELD ISD,67,37,14,69,40,12,51,22,2,66,35,14,76,41,16,68,43,25
OLTON ISD,70,38,15,72,43,15,47,21,3,75,36,15,70,39,16,68,38,18
SPRINGLAKE-EARTH ISD,78,49,22,78,51,21,64,27,4,81,48,22,82,52,33,77,60,26
SUDAN ISD,77,50,24,78,54,25,60,31,11,80,53,26,80,49,23,79,49,30
LAMPASAS ISD,74,47,20,73,48,19,61,32,10,75,43,18,80,56,23,82,63,37
LOMETA ISD,55,30,14,58,33,13,44,18,6,57,33,19,48,20,11,59,41,21
COTULLA ISD,62,32,11,63,36,11,57,20,5,59,30,12,64,26,8,67,40,17
HALLETTSVILLE ISD,78,49,20,78,50,18,69,30,4,83,53,24,77,47,19,78,52,27
MOULTON ISD,83,58,31,82,58,31,89,52,14,85,65,38,76,38,15,88,71,45
SHINER ISD,90,72,40,89,71,37,87,67,27,92,72,45,89,75,43,90,70,40
VYSEHRAD ISD,88,57,28,85,44,27,80,35,5,93,73,35,92,83,33,100,60,40
SWEET HOME ISD,88,54,26,87,56,23,85,44,7,91,52,28,86,57,39,93,57,36
EZZELL ISD,84,59,32,79,52,29,100,55,9,90,71,40,72,44,28,-1,-1,-1
GIDDINGS ISD,74,48,22,75,50,18,55,23,6,73,45,23,78,52,25,87,63,40
LEXINGTON ISD,77,50,21,76,50,21,68,43,9,81,52,23,73,45,17,78,54,30
DIME BOX ISD,66,35,13,63,37,13,52,35,13,67,33,11,71,29,8,80,44,24
BUFFALO ISD,78,49,19,77,49,17,80,40,7,80,49,20,75,44,16,84,63,37
CENTERVILLE ISD,78,48,17,78,55,24,68,45,6,77,39,12,80,42,10,85,56,30
NORMANGEE ISD,74,46,19,72,48,21,59,33,6,75,43,14,84,48,23,72,54,30
OAKWOOD ISD,67,29,7,69,38,7,35,4,0,64,22,8,78,15,0,87,65,17
LEON ISD,81,55,24,77,50,20,74,50,22,86,59,28,90,62,23,74,48,30
CLEVELAND ISD,55,26,9,54,27,9,39,14,2,57,25,9,56,27,9,63,36,20
DAYTON ISD,63,35,13,63,37,13,46,18,3,67,35,13,66,37,13,65,41,19
DEVERS ISD,97,79,48,98,80,48,95,73,43,96,84,52,100,71,46,92,67,33
HARDIN ISD,71,43,18,71,47,18,52,25,2,71,40,22,79,46,18,77,46,24
HULL-DAISETTA ISD,54,26,8,57,34,10,45,24,3,46,15,4,68,27,8,62,32,15
LIBERTY ISD,71,39,14,71,44,16,55,23,4,70,35,13,79,45,14,74,43,24
TARKINGTON ISD,72,43,17,67,40,13,67,29,7,76,45,18,75,42,18,77,56,33
COOLIDGE ISD,69,34,11,70,37,12,52,14,0,70,34,14,71,41,11,75,34,3
GROESBECK ISD,59,31,11,57,33,12,49,19,3,59,28,9,65,33,12,73,47,24
MEXIA ISD,56,29,9,60,35,11,39,14,3,50,22,8,61,31,6,67,45,20
BOOKER ISD,84,55,24,85,55,19,72,47,13,92,66,36,81,42,16,74,43,26
FOLLETT ISD,78,46,20,77,52,22,68,23,5,77,39,21,79,49,17,90,59,24
DARROUZETT ISD,43,20,7,45,27,8,31,0,0,39,17,7,40,13,3,61,30,9
GEORGE WEST ISD,85,57,27,85,60,29,80,52,21,85,56,26,87,52,26,85,61,34
THREE RIVERS ISD,72,43,18,74,44,16,55,21,4,73,47,21,77,45,21,70,41,23
LLANO ISD,74,46,19,72,48,18,56,27,11,76,42,16,82,56,23,80,57,36
RISE ACADEMY,92,65,30,93,55,25,81,42,8,92,74,35,100,90,52,93,60,33
TRIUMPH PUBLIC HIGH SCHOOLS-LUBBOC,51,23,5,32,18,2,,,,57,18,11,63,29,4,73,33,8
BETTY M CONDRA SCHOOL FOR EDUCATIO,23,7,3,37,14,7,14,0,0,10,3,0,,,,,,
LUBBOCK ISD,65,38,17,66,40,17,52,25,7,67,36,17,70,40,18,65,43,26
NEW DEAL ISD,73,41,16,73,47,16,62,24,4,75,39,18,79,47,19,61,30,15
SLATON ISD,60,31,8,59,35,10,43,16,2,61,26,6,68,38,10,59,31,14
LUBBOCK-COOPER ISD,80,54,25,79,55,24,74,41,12,82,55,29,81,53,23,81,57,34
FRENSHIP ISD,80,53,27,82,58,28,72,41,14,79,47,24,86,61,32,82,59,37
ROOSEVELT ISD,66,38,15,66,39,13,52,28,8,63,32,13,70,42,15,84,58,35
SHALLOWATER ISD,90,68,33,88,68,30,83,52,21,94,74,39,95,71,35,87,60,34
IDALOU ISD,83,58,28,81,57,23,86,49,11,88,62,33,81,57,23,79,64,46
O'DONNELL ISD,72,38,13,70,44,17,71,33,8,78,37,16,74,35,7,57,29,10
TAHOKA ISD,75,43,20,71,40,18,69,29,4,85,52,25,80,46,21,55,26,19
NEW HOME ISD,91,68,36,92,71,33,84,52,21,93,71,46,89,63,21,93,71,51
WILSON ISD,62,32,13,65,39,15,59,12,6,55,28,10,62,21,10,73,55,18
MADISONVILLE CISD,83,52,22,82,53,21,68,34,9,85,53,23,89,59,27,81,49,25
NORTH ZULCH ISD,84,54,23,83,55,22,71,29,0,91,60,29,85,53,14,79,59,38
JEFFERSON ISD,57,30,11,59,34,11,42,15,2,53,23,9,65,36,12,61,40,18
STANTON ISD,71,42,18,68,42,14,57,22,4,69,40,20,80,49,22,86,64,34
GRADY ISD,93,71,36,93,74,39,78,63,19,91,59,31,100,92,42,100,83,52
MASON ISD,88,63,31,90,67,32,79,48,20,87,59,27,88,61,32,88,76,49
BAY CITY ISD,58,33,13,56,34,12,46,21,5,61,32,14,64,35,14,65,42,22
TIDEHAVEN ISD,83,54,25,85,57,25,81,45,18,83,56,27,79,47,20,84,54,32
MATAGORDA ISD,53,26,6,53,27,8,33,7,0,53,22,2,79,47,16,29,29,14
PALACIOS ISD,71,42,17,70,41,16,66,35,8,75,43,18,69,44,16,70,49,31
VAN VLECK ISD,69,37,14,67,40,15,59,29,8,72,37,14,74,34,12,70,40,20
EAGLE PASS ISD,52,27,8,56,33,8,37,13,2,42,15,6,57,26,7,74,51,25
BRADY ISD,77,47,18,76,51,18,68,34,4,81,51,23,75,39,15,79,47,23
ROCHELLE ISD,89,66,36,82,59,32,90,38,7,94,80,50,98,82,45,84,52,24
LOHN ISD,28,9,2,33,14,4,40,7,0,19,6,2,33,6,0,0,0,0
WACO CHARTER SCHOOL,56,20,8,62,20,11,40,16,0,61,23,11,40,15,0,,,
RAPOPORT ACADEMY PUBLIC SCHOOL,56,29,12,62,34,14,43,12,3,46,20,8,64,39,16,75,50,30
HARMONY SCIENCE ACAD (WACO),62,35,14,66,41,16,53,24,6,56,27,11,67,39,17,74,47,27
CRAWFORD ISD,92,66,29,95,72,34,92,60,20,90,65,29,89,60,22,85,58,35
MIDWAY ISD,84,61,33,83,61,30,76,48,19,86,62,35,87,68,41,83,62,39
LA VEGA ISD,59,28,9,64,34,10,50,19,4,58,25,9,56,25,8,59,28,11
LORENA ISD,87,63,31,87,66,33,76,42,9,87,58,29,92,67,30,92,78,53
MART ISD,71,37,13,65,34,11,51,17,5,72,33,12,89,59,19,79,44,23
MCGREGOR ISD,71,39,15,72,43,16,63,25,5,69,37,14,74,34,15,78,53,29
MOODY ISD,65,36,14,69,40,15,55,28,7,61,30,12,64,39,19,69,41,17
RIESEL ISD,70,37,13,73,45,15,55,25,5,71,31,13,73,39,12,63,30,12
WACO ISD,49,23,8,51,26,8,36,11,2,47,20,7,53,24,8,58,33,15
WEST ISD,79,52,22,78,52,19,63,25,4,80,52,25,86,61,23,81,61,34
AXTELL ISD,78,46,17,78,54,22,80,43,11,76,36,13,82,44,18,79,53,20
BRUCEVILLE-EDDY ISD,64,31,10,65,33,11,47,20,1,67,25,6,66,31,14,62,44,26
CHINA SPRING ISD,84,59,28,82,59,28,81,54,17,87,59,29,88,64,34,80,52,27
CONNALLY ISD,50,22,6,52,27,8,36,14,1,44,16,4,64,29,6,54,23,8
ROBINSON ISD,78,49,20,77,51,21,68,36,6,79,47,21,85,53,22,80,56,31
BOSQUEVILLE ISD,77,50,19,81,56,21,64,34,8,76,48,17,77,49,20,76,48,23
HALLSBURG ISD,76,40,15,76,49,25,65,22,4,80,34,11,70,48,9,,,
GHOLSON ISD,70,41,17,71,40,13,68,35,14,65,40,20,78,53,24,75,32,11
MCMULLEN COUNTY ISD,90,66,28,91,69,28,76,43,17,94,68,27,92,75,37,91,60,29
DEVINE ISD,72,43,18,73,46,19,59,26,4,69,35,14,78,49,19,82,65,45
D'HANIS ISD,85,57,25,87,68,34,90,60,15,84,49,24,91,61,20,68,27,12
NATALIA ISD,58,27,8,62,34,10,48,14,1,47,16,5,64,29,7,77,44,19
HONDO ISD,67,39,17,69,41,14,57,24,5,63,36,16,71,42,20,77,54,33
MEDINA VALLEY ISD,80,53,25,81,56,23,73,41,12,79,50,24,84,57,29,85,63,37
MENARD ISD,73,41,17,75,45,19,62,24,14,66,30,12,84,56,16,78,54,30
MIDLAND ACADEMY CHARTER SCHOOL,81,51,27,83,57,29,65,36,12,86,53,33,87,49,20,70,35,30
MIDLAND ISD,63,36,14,62,38,14,52,23,6,64,35,16,68,39,15,64,40,20
GREENWOOD ISD,73,43,18,72,45,18,60,27,5,76,45,19,81,48,19,66,40,23
CAMERON ISD,73,44,19,72,45,18,62,27,8,74,45,21,73,41,17,81,55,26
GAUSE ISD,75,38,16,75,46,23,79,15,0,76,39,10,74,48,30,70,20,20
MILANO ISD,86,58,27,87,60,27,75,39,5,88,57,28,85,62,27,84,66,43
ROCKDALE ISD,74,42,16,73,45,18,67,34,5,76,41,15,71,34,9,77,52,28
THORNDALE ISD,73,46,16,71,48,16,67,36,12,78,40,11,78,54,23,68,49,27
BUCKHOLTS ISD,43,22,9,40,27,13,45,20,0,39,12,3,52,16,12,60,47,20
GOLDTHWAITE ISD,89,65,31,88,66,30,75,48,16,93,67,32,91,68,29,86,63,40
MULLIN ISD,74,40,10,74,44,7,42,17,0,73,33,9,88,46,13,83,58,33
PRIDDY ISD,71,36,12,72,42,8,46,0,0,76,35,16,74,35,10,71,50,29
COLORADO ISD,66,39,16,62,38,13,50,23,3,68,38,17,71,42,18,82,60,33
LORAINE ISD,65,40,18,66,42,18,60,45,10,68,41,22,54,21,7,70,45,30
WESTBROOK ISD,68,37,14,72,44,14,42,19,8,67,31,14,76,33,11,71,53,26
BOWIE ISD,71,41,16,69,42,15,64,30,5,69,35,14,76,46,18,87,63,37
NOCONA ISD,72,43,16,68,41,17,60,24,1,73,44,16,81,53,20,79,47,22
GOLD BURG ISD,56,31,10,67,41,11,54,33,0,50,25,11,43,14,0,59,45,27
MONTAGUE ISD,75,40,18,79,46,19,55,10,0,87,48,26,76,48,19,36,18,0
PRAIRIE VALLEY ISD,83,52,22,85,57,22,78,39,0,82,49,22,77,47,10,90,63,47
FORESTBURG ISD,80,47,14,78,53,13,73,41,18,80,46,13,88,38,9,86,41,23
SAINT JO ISD,78,46,19,82,51,22,71,34,2,77,43,15,82,50,18,70,45,36
TEXAS SERENITY ACADEMY,57,23,8,64,28,11,55,18,4,55,22,8,52,18,4,35,6,0
CONROE ISD,81,58,32,80,59,30,71,43,15,82,58,34,85,64,36,83,63,44
MONTGOMERY ISD,84,60,29,82,60,26,76,45,14,87,63,34,87,61,30,87,65,42
WILLIS ISD,68,38,15,67,42,16,51,23,4,69,33,13,73,41,14,74,47,25
MAGNOLIA ISD,73,48,23,72,48,20,61,32,8,72,43,21,81,57,33,84,63,42
SPLENDORA ISD,61,31,10,61,34,11,53,23,4,58,25,8,69,33,11,72,43,20
NEW CANEY ISD,62,34,13,60,35,12,49,22,5,62,32,13,67,37,14,71,44,22
DUMAS ISD,74,43,16,71,41,13,59,27,4,81,47,19,78,42,14,76,51,27
SUNRAY ISD,76,43,17,73,44,18,68,33,7,83,48,21,77,41,16,74,40,15
DAINGERFIELD-LONE STAR ISD,58,31,11,61,35,12,62,27,6,53,25,9,57,30,9,66,39,20
PEWITT CISD,68,36,12,73,43,15,59,33,8,63,27,8,78,41,12,63,32,17
MOTLEY COUNTY ISD,75,43,14,75,44,15,52,24,0,82,51,19,89,50,17,60,24,4
STEPHEN F AUSTIN STATE UNIVERSITY,96,75,53,97,77,60,95,69,31,97,80,58,95,59,36,,,
CHIRENO ISD,66,35,13,71,43,17,57,24,4,63,33,11,67,34,12,57,14,11
CUSHING ISD,77,44,18,78,47,18,69,20,3,76,44,19,78,46,19,78,49,28
GARRISON ISD,78,47,18,80,50,21,59,33,6,83,48,20,79,41,14,74,50,21
NACOGDOCHES ISD,58,31,12,57,32,12,50,23,6,56,27,11,67,36,14,69,45,26
WODEN ISD,81,51,22,82,56,25,69,36,4,75,40,16,91,60,25,96,71,49
CENTRAL HEIGHTS ISD,86,61,30,87,67,33,80,51,16,89,61,30,90,56,26,77,57,37
MARTINSVILLE ISD,75,39,14,78,44,19,79,47,7,65,28,9,86,55,23,75,30,11
ETOILE ISD,54,32,10,53,37,14,50,19,6,56,23,5,50,43,14,-1,-1,-1
DOUGLASS ISD,76,52,22,77,52,22,70,44,15,74,49,21,81,58,24,74,57,33
BLOOMING GROVE ISD,70,39,13,70,45,16,52,22,2,74,40,16,74,34,9,66,33,12
CORSICANA ISD,66,38,15,65,39,14,54,23,5,70,39,18,69,38,14,66,44,19
DAWSON ISD,66,37,14,68,41,18,47,22,5,67,34,14,70,35,12,65,43,13
FROST ISD,70,36,13,77,44,15,61,19,2,64,30,11,66,32,11,79,50,26
KERENS ISD,67,36,13,66,39,14,52,20,5,72,38,16,58,30,8,80,42,17
MILDRED ISD,78,49,22,79,50,19,69,38,11,78,49,26,80,48,16,85,58,36
RICE ISD,68,42,17,65,41,15,54,28,7,70,42,18,79,53,25,69,42,18
BURKEVILLE ISD,52,26,8,51,31,9,49,14,0,57,28,9,52,18,4,43,25,10
NEWTON ISD,66,34,11,65,38,12,64,34,9,60,23,7,77,47,13,81,45,18
DEWEYVILLE ISD,68,37,15,77,53,22,64,36,7,62,29,14,60,20,4,63,24,9
ROSCOE COLLEGIATE ISD,67,34,11,70,42,13,57,17,4,63,26,9,69,35,4,72,48,25
SWEETWATER ISD,55,28,10,55,31,10,44,18,2,55,27,10,60,26,11,59,36,20
BLACKWELL CISD,81,48,19,83,51,19,67,43,14,78,31,7,93,63,33,85,69,42
HIGHLAND ISD,88,64,33,87,63,35,91,61,18,92,68,42,82,57,18,85,70,36
DR M L GARZA-GONZALEZ CHARTER SCHO,48,14,5,67,23,12,38,3,0,34,9,2,44,17,0,45,5,0
CORPUS CHRISTI MONTESSORI SCHOOL,57,32,15,72,51,28,61,33,17,51,21,7,39,18,4,36,14,7
SEASHORE CHARTER SCHOOLS,89,55,26,92,63,37,85,50,16,88,52,21,89,47,22,81,43,16
AGUA DULCE ISD,71,34,12,77,40,16,57,21,0,64,24,6,72,36,11,83,51,27
BISHOP CISD,69,38,12,72,45,13,59,34,9,64,32,11,73,35,9,73,41,19
CALALLEN ISD,76,47,21,75,49,19,67,36,9,75,43,18,83,60,32,79,52,34
CORPUS CHRISTI ISD,61,34,13,62,37,14,52,23,6,61,32,13,60,30,10,67,42,22
DRISCOLL ISD,77,48,21,80,53,25,79,43,7,76,48,22,77,48,23,62,19,19
LONDON ISD,89,64,32,88,65,30,86,60,20,91,65,36,90,57,25,90,71,44
PORT ARANSAS ISD,85,63,30,84,69,29,86,47,11,85,59,30,85,63,35,87,65,40
ROBSTOWN ISD,51,24,8,55,31,9,43,17,3,48,19,8,50,22,5,55,26,10
TULOSO-MIDWAY ISD,73,44,17,76,49,19,63,32,5,67,33,13,82,54,22,80,52,27
BANQUETE ISD,77,45,17,80,49,19,70,39,10,72,38,15,82,49,19,80,49,18
FLOUR BLUFF ISD,77,50,22,77,54,22,70,39,13,75,44,21,82,56,24,79,58,36
WEST OSO ISD,57,28,8,64,36,10,43,16,1,54,20,6,53,26,7,61,42,22
PERRYTON ISD,80,49,21,78,50,19,67,32,9,83,53,26,86,53,25,80,44,19
BOYS RANCH ISD,78,54,29,66,45,14,58,50,8,86,61,41,84,47,29,96,76,54
VEGA ISD,88,64,29,88,69,27,88,56,19,88,62,29,94,67,28,82,58,47
ADRIAN ISD,68,32,12,77,46,14,71,29,6,63,23,12,65,22,13,57,24,10
WILDORADO ISD,77,47,16,82,52,17,60,34,9,77,50,14,77,36,11,76,48,34
BRIDGE CITY ISD,76,47,19,78,53,22,68,34,12,73,42,17,82,48,17,78,50,26
ORANGEFIELD ISD,76,48,21,74,50,20,63,34,9,78,45,21,81,53,22,83,65,39
WEST ORANGE-COVE CISD,44,20,6,45,23,5,41,15,3,41,17,5,46,17,7,55,29,12
VIDOR ISD,68,41,17,65,41,15,64,31,8,72,42,21,72,43,17,66,41,22
LITTLE CYPRESS-MAURICEVILLE CISD,68,38,14,67,42,16,58,25,4,69,36,15,75,41,13,69,37,16
GORDON ISD,70,35,13,69,42,19,69,28,0,66,29,13,78,30,8,73,47,13
GRAFORD ISD,73,41,14,71,44,18,68,32,3,73,39,13,84,44,14,65,39,10
MINERAL WELLS ISD,61,32,11,61,33,10,45,18,5,63,31,11,66,34,13,66,38,20
SANTO ISD,84,55,23,83,59,23,78,45,13,89,57,30,78,47,18,81,53,19
STRAWN ISD,66,39,16,64,37,16,44,19,0,71,43,17,58,23,8,83,65,30
PALO PINTO ISD,92,54,27,94,57,26,90,30,10,89,53,32,100,67,25,,,
PANOLA CHARTER SCHOOL,68,42,18,71,58,18,,,,53,22,9,68,34,15,77,43,30
BECKVILLE ISD,88,57,24,86,60,23,76,48,17,90,56,27,93,68,29,86,45,11
CARTHAGE ISD,72,45,19,71,45,17,65,33,9,72,42,19,77,50,24,79,55,27
GARY ISD,74,41,14,79,55,19,67,33,3,71,32,13,85,43,11,52,16,9
CROSSTIMBERS ACADEMY,77,43,10,69,47,2,,,,72,11,0,80,30,5,86,57,25
POOLVILLE ISD,72,41,15,72,43,17,72,25,4,74,41,16,69,43,12,66,50,24
SPRINGTOWN ISD,71,41,16,70,42,15,64,33,8,72,37,15,73,42,16,80,53,31
WEATHERFORD ISD,72,44,18,72,46,17,62,32,8,70,40,17,76,47,20,79,55,31
MILLSAP ISD,78,49,21,75,50,21,58,29,5,85,54,27,78,46,15,81,54,26
ALEDO ISD,88,68,39,89,71,39,79,51,16,88,66,39,92,73,43,88,72,53
PEASTER ISD,76,49,19,77,55,22,62,29,3,75,45,19,84,57,24,77,45,22
BROCK ISD,89,64,31,89,67,31,86,53,16,88,61,32,91,68,36,89,67,42
GARNER ISD,62,33,12,60,34,16,57,33,4,58,30,8,78,35,15,70,40,15
BOVINA ISD,62,31,9,67,33,7,47,18,5,64,34,12,61,25,6,57,31,10
FARWELL ISD,82,53,25,80,51,22,73,39,13,87,62,34,81,46,16,87,59,38
FRIONA ISD,67,36,13,66,39,13,57,22,1,66,32,13,77,45,21,72,43,13
LAZBUDDIE ISD,69,35,16,66,40,20,50,20,7,73,33,16,80,46,17,67,21,6
BUENA VISTA ISD,78,41,16,82,51,21,50,25,6,79,35,15,86,40,18,71,36,10
FORT STOCKTON ISD,53,26,9,54,30,9,45,16,4,52,23,10,57,25,5,55,29,11
IRAAN-SHEFFIELD ISD,55,29,9,58,36,11,45,21,2,58,23,10,52,31,12,55,29,7
BIG SANDY ISD,75,44,17,75,43,15,66,34,7,76,42,15,77,46,21,77,60,32
GOODRICH ISD,62,30,10,66,32,9,40,15,5,72,41,19,55,21,2,32,7,0
CORRIGAN-CAMDEN ISD,66,36,15,67,38,14,55,24,6,66,32,15,68,44,15,72,44,28
LEGGETT ISD,44,19,4,51,28,5,38,13,4,33,8,2,39,17,3,65,35,13
LIVINGSTON ISD,68,40,17,66,41,15,58,27,6,71,39,18,73,44,19,73,53,30
ONALASKA ISD,80,51,21,77,51,19,70,30,7,85,53,26,88,58,26,79,53,24
AMARILLO ISD,71,43,18,69,43,17,61,31,8,75,45,20,76,46,20,71,45,27
RIVER ROAD ISD,74,44,17,69,42,15,63,30,5,73,39,16,82,53,20,84,59,30
HIGHLAND PARK ISD,75,43,15,75,45,14,68,35,9,74,39,15,85,52,17,71,42,23
BUSHLAND ISD,84,58,26,84,64,27,79,52,19,86,57,28,82,55,24,84,49,23
MARFA ISD,62,28,8,68,35,9,39,3,0,60,26,5,65,25,7,56,29,18
PRESIDIO ISD,68,41,15,61,36,12,58,31,6,68,39,15,79,47,19,85,58,31
RAINS ISD,61,30,10,61,34,11,46,15,3,58,22,8,69,35,11,72,48,24
CANYON ISD,83,58,28,82,57,26,74,41,10,87,61,32,86,62,31,83,58,34
REAGAN COUNTY ISD,67,36,15,69,44,19,63,24,10,65,31,13,71,33,10,69,38,19
BIG SPRINGS CHARTER SCHOOL,43,23,10,42,23,11,17,17,8,34,14,2,52,22,7,79,53,37
LEAKEY ISD,64,36,10,68,45,10,37,15,2,62,29,7,70,32,13,70,53,21
AVERY ISD,83,56,21,83,56,18,71,35,8,83,61,30,97,68,21,76,46,22
RIVERCREST ISD,78,48,21,73,51,20,69,33,9,84,52,27,79,40,11,79,51,34
CLARKSVILLE ISD,53,24,7,57,28,8,47,19,3,52,21,7,49,20,2,57,24,10
DETROIT ISD,72,43,17,69,42,16,51,14,4,82,51,23,70,44,14,68,42,11
PECOS-BARSTOW-TOYAH ISD,60,28,10,59,31,11,56,23,5,61,28,12,61,25,8,64,31,11
BALMORHEA ISD,59,26,11,61,27,7,48,7,0,56,25,12,58,15,4,86,79,57
AUSTWELL-TIVOLI ISD,68,36,13,71,42,10,54,17,4,63,34,16,85,41,15,56,31,19
WOODSBORO ISD,67,35,11,69,41,12,51,11,1,67,31,12,72,45,10,68,42,11
REFUGIO ISD,69,38,15,68,40,15,59,22,2,71,38,16,75,34,13,68,44,23
MIAMI ISD,82,45,19,81,48,17,69,38,19,88,48,20,79,42,19,84,32,23
BREMOND ISD,76,44,18,80,51,19,66,34,7,73,32,11,78,48,27,79,67,46
CALVERT ISD,51,19,4,52,21,6,20,7,0,50,23,5,55,3,0,67,33,0
FRANKLIN ISD,88,66,36,87,64,31,79,45,15,92,71,43,88,67,38,90,74,50
HEARNE ISD,34,14,4,36,18,5,28,9,2,30,10,4,35,9,4,41,18,4
MUMFORD ISD,90,67,36,94,75,46,85,62,25,87,58,28,88,64,26,93,71,46
ROCKWALL ISD,81,57,28,80,58,26,73,43,13,82,55,28,85,61,33,87,67,45
ROYSE CITY ISD,72,43,18,72,45,17,61,28,7,74,43,20,76,47,19,73,46,22
BALLINGER ISD,67,39,15,67,43,16,55,23,5,65,33,12,73,47,20,71,47,26
MILES ISD,87,61,29,87,59,26,73,41,9,89,67,37,87,57,28,89,69,35
