DISTRICT NAME,STAAR: % ALL SUBJECTS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MEETS GRADE LEVEL STANDARD OR ABOVE, STAAR: % ALL SUBJECTS AT MASTERS GRADE LEVEL STANDARD,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD,STAAR: % WRITING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % WRITING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % WRITING AT MASTERS GRADE LEVEL STANDARD,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD,STAAR: % SCIENCE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MASTERS GRADE LEVEL STANDARD,STAAR: % SOCIAL STUDIES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % SOCIAL STUDIES AT MEETS GRADE LEVEL STANDARD OR ABOVE, STAAR: % SOCIAL STUDIES AT MASTERS GRADE LEVEL STANDARD
WINTERS ISD,63,34,12,63,36,13,50,27,3,65,32,11,60,28,6,73,46,24
OLFEN ISD,73,39,15,67,41,14,53,26,16,70,32,12,87,45,16,97,53,23
HENDERSON ISD,64,35,14,63,38,14,48,21,5,64,31,11,69,40,16,73,47,27
LANEVILLE ISD,64,36,14,56,32,9,50,17,0,70,46,16,63,16,9,92,63,38
LEVERETTS CHAPEL ISD,74,45,21,75,50,18,62,24,5,71,46,27,86,47,22,72,38,21
MOUNT ENTERPRISE ISD,75,45,20,74,45,21,60,30,12,75,38,18,82,57,20,82,62,32
OVERTON ISD,63,32,10,63,36,10,60,26,4,65,33,12,60,17,2,60,41,21
TATUM ISD,79,50,21,79,53,21,65,30,9,79,49,20,87,59,24,77,49,25
CARLISLE ISD,68,35,12,65,36,12,51,18,1,73,34,12,71,39,14,82,44,24
WEST RUSK COUNTY CONSOLIDATED ISD,74,44,17,73,45,17,62,31,4,74,42,14,81,51,21,76,46,28
HEMPHILL ISD,76,41,14,74,44,14,71,32,8,75,38,11,81,36,14,83,52,31
WEST SABINE ISD,63,30,12,63,29,12,41,17,7,67,32,13,70,41,13,65,28,13
SAN AUGUSTINE ISD,45,20,7,47,25,7,43,17,5,42,15,6,42,13,6,56,32,16
BROADDUS ISD,68,40,12,66,37,9,58,27,4,76,49,19,64,35,6,61,39,17
COLDSPRING-OAKHURST CISD,55,27,9,54,30,10,49,25,6,52,19,6,63,35,14,63,35,18
SHEPHERD ISD,51,24,7,48,26,7,40,14,3,52,21,7,55,23,7,66,36,15
ARANSAS PASS ISD,64,34,12,66,38,11,54,24,5,61,28,9,68,33,13,72,50,28
GREGORY-PORTLAND ISD,71,43,18,70,45,18,61,32,7,71,42,20,74,43,17,76,51,30
INGLESIDE ISD,74,46,18,72,49,17,67,33,10,74,40,17,80,53,20,78,55,25
MATHIS ISD,70,36,12,74,43,15,60,20,5,65,29,8,70,33,8,79,49,30
ODEM-EDROY ISD,70,42,16,72,45,15,57,25,4,65,33,14,77,48,20,78,57,31
SINTON ISD,62,35,15,63,38,14,54,26,7,57,28,12,72,48,22,65,40,19
TAFT ISD,54,25,7,54,25,8,45,20,4,56,25,7,46,21,5,63,33,12
SAN SABA ISD,68,38,15,68,44,16,71,32,3,71,35,14,67,33,11,62,43,28
RICHLAND SPRINGS ISD,71,38,10,74,41,11,54,38,8,71,29,10,77,48,13,60,36,4
CHEROKEE ISD,79,51,20,78,57,19,70,45,15,76,43,19,93,52,17,80,60,33
SCHLEICHER ISD,74,46,18,72,45,15,58,24,4,79,48,18,80,53,21,77,51,31
HERMLEIGH ISD,58,27,7,59,33,12,44,18,0,53,22,4,66,29,8,68,26,3
SNYDER ISD,62,33,13,59,33,11,50,19,4,64,34,15,68,36,12,67,47,28
IRA ISD,90,70,37,92,77,39,86,55,18,89,72,46,97,71,36,81,51,19
ALBANY ISD,76,45,16,78,48,16,66,42,9,70,39,13,82,50,15,84,55,31
MORAN ISD,45,23,5,50,28,5,33,13,0,43,19,3,41,21,3,50,31,19
CENTER ISD,72,39,13,69,42,14,64,27,5,77,41,15,73,35,12,74,42,18
JOAQUIN ISD,78,48,18,79,49,16,76,38,8,83,53,23,77,47,17,63,41,22
SHELBYVILLE ISD,79,49,19,80,52,21,62,34,5,82,54,21,88,47,21,67,40,16
TENAHA ISD,65,37,14,65,38,12,48,19,6,74,48,22,59,25,7,57,28,7
TIMPSON ISD,64,32,10,65,39,13,47,18,2,70,29,8,64,32,7,61,31,14
EXCELSIOR ISD,50,25,8,61,39,16,54,15,0,39,16,8,50,25,0,38,13,0
TEXHOMA ISD,79,39,14,80,34,14,65,24,6,86,51,17,,,,,,
STRATFORD ISD,73,43,18,75,49,20,74,44,15,68,39,18,73,43,18,78,37,13
CUMBERLAND ACADEMY,67,36,15,69,42,16,61,28,5,61,29,11,68,31,12,80,53,37
UT TYLER UNIVERSITY ACADEMY,86,65,36,88,70,37,78,51,17,82,58,32,91,72,47,91,70,46
ARP ISD,74,44,18,72,47,19,57,19,1,74,38,15,86,54,21,80,61,39
BULLARD ISD,87,63,31,86,64,28,79,46,9,89,66,38,89,63,29,87,67,43
LINDALE ISD,87,69,38,87,69,36,77,55,18,89,73,46,89,69,37,88,66,40
TROUP ISD,82,56,27,81,58,27,77,42,10,81,53,25,90,69,38,75,46,26
TYLER ISD,66,39,17,65,40,16,58,29,8,68,40,19,70,41,18,68,43,23
WHITEHOUSE ISD,86,62,33,84,61,29,76,41,14,89,69,41,87,63,33,87,66,42
CHAPEL HILL ISD,59,32,12,61,36,12,50,24,5,55,26,9,63,36,16,70,43,22
WINONA ISD,64,35,13,65,36,12,51,20,3,63,31,13,69,44,19,71,39,14
BRAZOS RIVER CHARTER SCHOOL,78,53,12,71,45,0,,,,43,14,0,80,60,20,89,66,24
GLEN ROSE ISD,84,56,24,83,58,26,80,45,10,82,52,22,90,64,22,86,66,41
RIO GRANDE CITY CISD,45,22,6,48,27,7,32,10,2,36,13,4,50,21,4,66,42,20
SAN ISIDRO ISD,72,38,11,73,45,12,63,32,11,69,31,10,73,25,0,81,52,29
ROMA ISD,63,37,13,61,43,13,69,38,12,60,30,15,66,30,6,73,43,19
BRECKENRIDGE ISD,66,35,13,63,35,10,54,24,10,69,37,17,78,43,15,55,28,14
STERLING CITY ISD,79,47,19,74,48,19,66,32,5,84,45,18,87,51,21,82,59,30
ASPERMONT ISD,71,39,15,73,47,19,33,25,4,72,37,16,84,30,7,69,34,14
SONORA ISD,81,52,22,77,51,18,67,29,4,82,52,26,93,67,34,86,56,31
HAPPY ISD,88,64,32,87,65,30,83,53,17,90,58,33,85,69,32,96,73,42
TULIA ISD,53,28,11,48,25,8,36,15,0,51,23,9,68,32,12,71,53,35
KRESS ISD,71,38,13,68,39,14,54,30,2,71,33,11,84,48,16,78,50,28
TREETOPS SCHOOL INTERNATIONAL,76,46,19,86,60,24,67,33,7,69,32,13,82,55,24,66,48,31
ARLINGTON CLASSICS ACADEMY,82,52,26,84,57,32,80,55,20,79,46,25,86,58,21,76,42,20
FORT WORTH ACADEMY OF FINE ARTS,85,56,27,91,69,38,87,46,17,78,43,18,85,58,20,86,62,34
WESTLAKE ACADEMY CHARTER SCHOOL,95,79,49,96,83,48,92,75,36,95,80,54,94,73,43,95,76,55
EAST FORT WORTH MONTESSORI ACADEMY,53,18,6,66,27,11,41,19,4,48,8,3,38,19,0,,,
TEXAS SCHOOL OF THE ARTS,71,42,18,81,49,30,68,51,8,63,33,11,70,37,7,,,
CHAPEL HILL ACADEMY,55,27,11,62,33,15,49,24,11,51,22,9,52,23,9,58,24,2
NEWMAN INTERNATIONAL ACADEMY OF AR,65,34,12,74,46,18,60,27,6,59,26,8,65,31,9,61,32,17
HIGH POINT ACADEMY,65,34,13,70,43,17,57,21,4,57,25,8,74,41,19,68,39,16
ARLINGTON ISD,58,32,13,61,37,14,47,21,5,53,25,10,60,33,13,68,44,25
BIRDVILLE ISD,71,44,20,71,46,18,61,32,10,71,43,20,76,49,25,74,49,30
EVERMAN ISD,57,29,10,61,34,11,51,18,3,50,21,8,61,34,11,65,38,18
FORT WORTH ISD,50,25,9,54,30,10,41,17,4,44,19,7,53,24,7,56,32,14
GRAPEVINE-COLLEYVILLE ISD,81,59,31,82,64,33,72,45,17,78,53,28,86,62,31,88,69,45
KELLER ISD,80,56,27,80,58,26,71,42,13,79,51,25,83,59,29,87,68,45
MANSFIELD ISD,78,52,25,79,56,25,70,39,12,76,48,24,80,54,26,82,59,35
LAKE WORTH ISD,44,20,6,46,24,6,36,16,2,37,13,5,47,21,7,62,34,16
CROWLEY ISD,56,30,10,57,34,11,48,20,4,52,23,9,61,32,12,67,39,18
KENNEDALE ISD,65,37,14,66,41,14,53,25,6,60,28,10,74,46,14,76,52,30
AZLE ISD,72,42,17,72,45,17,64,30,6,70,37,16,78,46,20,74,48,25
HURST-EULESS-BEDFORD ISD,77,52,25,77,53,24,71,44,18,77,49,25,80,55,27,81,58,37
CASTLEBERRY ISD,55,28,9,60,34,10,42,20,3,51,21,7,57,25,7,63,37,16
EAGLE MT-SAGINAW ISD,69,43,18,70,46,17,57,30,9,66,36,15,77,50,22,78,54,31
CARROLL ISD,96,84,57,95,84,55,94,78,43,97,84,62,97,86,57,96,84,66
WHITE SETTLEMENT ISD,70,42,17,71,46,18,70,41,14,68,36,16,71,40,16,73,47,24
TEXAS COLLEGE PREPARATORY ACADEMIE,74,46,20,79,54,26,68,36,10,69,38,17,74,44,18,77,51,30
ABILENE ISD,61,35,14,61,37,13,50,22,6,61,33,13,65,34,13,69,46,26
MERKEL ISD,71,42,16,67,43,14,65,33,10,72,39,17,80,43,16,76,52,30
TRENT ISD,64,31,11,68,46,11,55,15,5,59,24,10,76,17,14,61,30,18
JIM NED CISD,88,62,29,88,69,33,86,55,29,90,58,27,87,60,25,85,57,32
WYLIE ISD,88,65,33,87,65,32,83,53,18,90,64,34,91,69,35,90,74,52
TERRELL COUNTY ISD,86,57,28,82,51,29,71,57,14,87,59,30,94,64,19,89,61,39
BROWNFIELD ISD,52,27,10,52,28,9,40,15,2,53,27,11,58,30,12,53,27,12
MEADOW ISD,66,28,7,66,30,9,69,25,0,67,28,7,63,25,9,65,33,2
WELLMAN-UNION CISD,82,52,23,82,53,24,82,40,13,82,54,28,83,54,17,75,48,23
THROCKMORTON COLLEGIATE ISD,55,30,10,54,36,7,14,0,0,56,33,16,77,35,12,56,22,7
WOODSON ISD,71,46,14,71,47,15,67,44,6,78,49,19,69,45,7,57,40,11
MOUNT PLEASANT ISD,75,46,19,75,47,17,66,36,10,75,46,22,81,47,15,74,49,28
CHAPEL HILL ISD,81,49,19,79,51,20,73,29,6,85,52,24,87,55,18,77,44,19
HARTS BLUFF ISD,69,38,13,71,42,15,55,21,1,76,46,18,65,29,8,51,14,6
TEXAS LEADERSHIP PUBLIC SCHOOLS,62,31,10,66,38,12,58,23,6,60,26,10,60,25,5,61,35,15
CHRISTOVAL ISD,84,55,23,85,60,28,73,39,15,84,50,16,90,57,21,86,67,35
SAN ANGELO ISD,57,32,12,57,35,12,51,23,6,55,27,12,61,33,12,64,40,21
WATER VALLEY ISD,77,44,18,78,49,19,65,24,0,74,42,20,89,58,26,78,30,11
WALL ISD,94,72,38,95,74,39,90,56,18,96,77,43,94,75,45,88,59,22
GRAPE CREEK ISD,58,30,9,56,32,9,49,23,1,59,26,9,67,38,9,57,32,16
VERIBEST ISD,77,50,17,82,56,22,88,69,24,71,41,16,70,39,4,76,51,14
UNIVERSITY OF TEXAS AT AUSTIN H S,98,92,48,96,93,30,,,,96,81,15,100,95,60,100,96,81
WAYSIDE SCHOOLS,49,22,8,52,26,9,25,7,1,48,19,8,54,22,6,66,40,19
NYOS CHARTER SCHOOL,73,44,20,77,52,25,63,28,9,65,31,14,76,50,14,87,71,44
TEXAS EMPOWERMENT ACADEMY,41,17,5,53,28,7,47,19,6,28,6,2,37,15,4,19,3,0
UNIVERSITY OF TEXAS UNIVERSITY CHA,78,51,25,73,49,22,82,55,0,82,61,43,90,60,30,71,29,14
CHAPARRAL STAR ACADEMY,93,68,35,95,78,36,95,42,12,91,65,38,91,66,34,91,70,50
HARMONY SCIENCE ACADEMY (AUSTIN),57,32,14,59,36,16,47,23,7,54,28,13,62,34,14,62,38,22
CEDARS INTERNATIONAL ACADEMY,55,26,6,58,35,6,35,9,0,48,13,4,68,36,4,68,32,21
UNIVERSITY OF TEXAS ELEMENTARY CHA,68,43,23,69,42,28,76,51,14,62,43,23,72,38,16,,,
KIPP TEXAS PUBLIC SCHOOLS,55,28,10,60,35,12,46,20,4,51,21,7,57,28,9,58,33,15
AUSTIN DISCOVERY SCHOOL,58,30,13,69,44,28,63,35,6,47,19,3,52,22,7,44,13,6
PROMESA PUBLIC SCHOOLS,47,21,6,53,29,10,51,20,4,41,13,3,37,9,1,56,27,12
AUSTIN ACHIEVE PUBLIC SCHOOLS,43,20,5,47,26,5,27,7,0,42,15,6,49,24,7,31,9,2
MONTESSORI FOR ALL,55,30,15,61,39,26,55,28,10,55,25,9,38,13,5,,,
THE EXCEL CENTER (FOR ADULTS),53,25,2,43,23,2,,,,50,11,0,53,11,0,88,60,4
VALOR PUBLIC SCHOOLS,82,55,29,84,63,37,76,50,18,78,49,26,85,52,21,90,53,29
AUSTIN ISD,63,42,20,66,47,22,51,29,10,59,34,16,66,43,19,77,58,39
PFLUGERVILLE ISD,66,41,17,68,44,18,57,29,8,62,34,14,71,44,19,76,53,31
MANOR ISD,50,25,8,51,28,7,34,14,3,44,19,7,57,27,8,68,40,16
EANES ISD,92,74,44,93,77,44,88,64,30,92,70,42,93,76,44,95,83,61
DEL VALLE ISD,49,24,8,50,28,8,37,12,3,45,19,6,52,24,7,66,40,19
LAGO VISTA ISD,76,46,19,77,54,23,74,42,14,70,32,11,76,44,13,85,63,40
LAKE TRAVIS ISD,85,61,32,85,64,31,78,49,17,84,58,31,89,64,34,91,72,51
GROVETON ISD,74,49,21,74,51,20,78,43,17,75,48,21,75,52,23,63,42,22
TRINITY ISD,55,29,10,57,31,10,43,20,3,55,28,10,57,26,5,57,43,27
CENTERVILLE ISD,81,53,26,83,51,23,58,11,0,81,56,21,85,69,46,86,57,38
APPLE SPRINGS ISD,58,31,8,64,38,13,33,11,0,54,28,7,71,44,9,67,20,0
COLMESNEIL ISD,71,42,17,71,46,21,54,29,6,77,43,20,74,47,17,64,30,10
WOODVILLE ISD,65,35,13,63,36,13,59,27,7,67,36,14,71,33,11,60,33,14
WARREN ISD,71,41,16,70,46,18,61,26,5,71,37,15,81,50,21,67,38,18
SPURGER ISD,63,32,10,63,36,9,42,16,2,60,25,8,80,42,12,71,41,24
CHESTER ISD,69,40,16,66,41,20,64,33,6,70,34,14,78,49,18,70,50,18
BIG SANDY ISD,71,42,17,68,42,16,69,33,7,78,45,21,75,44,21,59,33,17
GILMER ISD,69,44,19,65,40,14,54,26,6,73,46,23,78,51,24,76,55,34
ORE CITY ISD,65,35,15,65,37,14,38,19,1,65,29,11,81,46,21,67,46,33
UNION HILL ISD,65,33,11,69,43,17,66,39,12,62,25,8,73,23,2,52,27,6
HARMONY ISD,79,51,23,77,50,22,73,46,14,82,49,24,84,57,26,79,63,31
NEW DIANA ISD,80,54,25,81,61,28,71,42,14,80,50,22,86,58,23,77,52,32
UNION GROVE ISD,83,55,25,84,57,23,67,35,11,83,55,27,88,62,27,84,56,35
MCCAMEY ISD,55,26,9,58,30,10,34,11,0,57,23,10,45,15,1,72,48,23
RANKIN ISD,77,46,15,72,47,16,62,36,10,83,48,17,79,37,11,82,51,19
KNIPPA ISD,86,57,29,86,63,30,83,39,20,90,63,33,83,46,20,78,50,26
SABINAL ISD,60,29,9,57,33,10,43,26,6,61,25,9,66,23,7,70,35,14
UVALDE CISD,49,23,8,51,27,9,37,11,2,44,19,7,51,22,7,61,33,14
UTOPIA ISD,70,41,14,79,51,19,71,34,9,60,28,10,67,49,9,67,37,19
SAN FELIPE-DEL RIO CISD,59,31,11,62,36,11,51,21,4,54,25,9,60,30,10,65,43,24
COMSTOCK ISD,75,48,24,80,58,30,64,38,13,67,32,15,84,60,30,86,54,32
RANCH ACADEMY,57,33,4,57,43,4,-1,-1,-1,63,13,0,63,25,0,50,29,7
CANTON ISD,81,54,25,81,58,26,67,39,8,82,49,23,86,59,31,84,64,39
EDGEWOOD ISD,78,45,15,78,50,18,77,41,11,74,36,13,84,50,13,79,49,18
GRAND SALINE ISD,68,39,14,64,37,11,61,32,5,68,39,15,69,37,12,83,60,31
MARTINS MILL ISD,82,55,27,81,56,23,69,35,10,87,60,31,80,52,25,82,61,47
VAN ISD,71,43,16,71,45,16,63,32,7,72,41,16,75,46,17,70,42,20
WILLS POINT ISD,66,36,13,63,37,13,52,23,6,67,33,13,76,47,20,69,42,15
FRUITVALE ISD,63,34,11,63,38,10,50,21,0,61,27,9,73,43,17,71,42,22
BLOOMINGTON ISD,40,15,4,42,19,3,37,10,0,36,11,4,46,13,2,41,24,9
VICTORIA ISD,56,30,12,59,35,13,51,21,4,51,24,10,61,33,12,61,37,21
NURSERY ISD,94,66,41,98,75,43,82,50,23,96,73,55,90,43,14,,,
RAVEN SCHOOL,8,0,0,0,0,0,,,,0,0,0,20,0,0,0,0,0
SAM HOUSTON STATE UNIVERSITY CHART,81,60,33,83,61,35,69,47,11,86,65,39,65,50,23,,,
NEW WAVERLY ISD,73,41,16,75,50,22,64,31,8,72,37,14,70,32,10,76,45,20
HUNTSVILLE ISD,60,34,12,63,39,13,44,19,3,56,25,9,64,36,12,69,43,23
HEMPSTEAD ISD,41,18,5,42,21,6,27,9,2,41,16,6,46,19,5,44,21,7
WALLER ISD,65,36,15,65,37,14,50,24,6,64,31,12,74,45,20,74,49,27
ROYAL ISD,52,24,7,49,24,7,35,12,1,56,24,8,55,25,8,58,30,11
MONAHANS-WICKETT-PYOTE ISD,64,35,13,61,36,12,52,22,6,67,34,14,67,38,13,73,43,22
GRANDFALLS-ROYALTY ISD,55,25,6,58,37,7,37,11,0,49,18,6,67,7,0,67,33,19
BRENHAM ISD,72,46,21,67,43,18,65,35,11,78,51,26,76,48,22,73,50,28
BURTON ISD,79,53,24,78,54,21,63,40,5,85,58,33,88,54,21,67,48,29
TRIUMPH PUBLIC HIGH SCHOOLS-LAREDO,37,13,3,27,9,1,,,,40,7,0,37,7,0,55,24,10
LAREDO ISD,54,28,10,56,31,10,48,24,5,49,22,9,60,29,10,59,32,15
UNITED ISD,64,35,13,67,41,14,56,27,7,58,27,11,69,37,13,71,40,17
WEBB CISD,55,28,9,60,37,11,51,30,3,48,23,9,52,14,3,69,29,13
BOLING ISD,76,44,14,73,46,12,70,32,7,77,40,16,80,46,12,86,58,28
EAST BERNARD ISD,85,57,26,83,62,24,73,40,10,86,52,26,90,61,30,88,64,38
EL CAMPO ISD,68,41,18,65,40,16,60,30,10,72,44,23,69,41,15,72,45,24
WHARTON ISD,56,30,10,54,33,9,37,14,4,57,29,11,61,26,7,69,39,17
LOUISE ISD,76,43,15,74,47,16,72,35,9,78,44,15,77,34,8,82,48,27
SHAMROCK ISD,68,36,14,67,39,14,71,29,2,64,25,10,78,56,27,67,33,16
WHEELER ISD,80,50,20,82,55,18,83,36,16,84,56,28,71,47,15,71,31,12
KELTON ISD,67,42,18,71,52,18,65,30,9,63,36,19,61,33,11,73,53,33
FORT ELLIOTT CISD,80,55,25,77,55,24,70,43,22,82,56,29,84,52,20,88,71,24
BURKBURNETT ISD,64,36,14,60,34,12,55,22,5,67,36,16,71,43,16,71,43,25
ELECTRA ISD,68,35,14,71,41,17,74,34,2,69,35,16,64,28,7,48,28,16
IOWA PARK CISD,81,54,24,79,52,19,69,34,7,86,58,29,84,58,28,83,63,34
WICHITA FALLS ISD,60,34,14,59,36,13,48,20,5,60,32,14,67,38,16,67,46,28
CITY VIEW ISD,70,41,16,68,40,15,55,28,5,74,41,16,80,54,26,67,39,19
HARROLD ISD,70,42,13,67,45,15,67,28,6,71,40,8,78,65,30,71,24,12
VERNON ISD,56,29,11,56,31,10,42,18,3,56,27,12,62,30,12,63,35,20
NORTHSIDE ISD,78,43,18,77,48,21,60,14,0,82,46,21,83,43,15,76,52,28
LASARA ISD,49,20,7,65,30,10,33,10,2,35,10,4,51,23,5,53,25,10
LYFORD CISD,58,28,9,62,34,11,54,18,4,49,17,5,60,31,12,67,41,17
RAYMONDVILLE ISD,66,32,10,70,39,12,54,22,2,64,28,9,69,29,7,63,34,16
SAN PERLITA ISD,75,46,16,73,48,15,56,26,0,73,43,19,81,49,12,89,59,24
MERIDIAN WORLD SCHOOL LLC,86,62,32,89,70,37,83,52,21,82,55,27,88,64,32,90,67,45
GOODWATER MONTESSORI SCHOOL,49,21,6,61,27,12,52,26,4,34,13,3,52,22,0,57,29,0
FLORENCE ISD,60,33,13,59,35,13,49,21,4,66,33,16,64,36,10,56,32,14
GEORGETOWN ISD,64,38,15,65,41,16,57,29,8,61,31,12,69,40,15,73,50,28
GRANGER ISD,64,30,10,63,37,9,59,21,4,67,25,9,63,22,10,66,39,26
HUTTO ISD,68,40,15,69,44,16,62,33,9,63,31,12,74,45,16,75,53,31
JARRELL ISD,53,26,6,56,31,7,45,19,3,52,20,5,53,24,6,57,32,12
LIBERTY HILL ISD,79,51,23,79,55,24,71,40,12,78,45,19,83,56,30,82,60,39
ROUND ROCK ISD,79,58,31,80,62,32,72,47,19,76,52,29,83,63,36,86,67,45
TAYLOR ISD,52,27,9,55,31,9,41,15,3,47,20,6,56,27,9,62,39,20
THRALL ISD,83,56,26,83,59,26,74,35,8,85,58,28,82,54,26,91,59,33
LEANDER ISD,79,56,29,79,58,28,68,40,14,77,51,25,85,61,33,89,72,47
COUPLAND ISD,76,45,20,81,49,28,70,35,15,78,50,17,65,44,21,63,16,0
FLORESVILLE ISD,64,36,13,64,39,12,50,22,5,63,32,13,67,38,12,77,49,25
LA VERNIA ISD,83,59,29,81,57,24,78,48,18,87,63,33,87,65,33,80,58,38
POTH ISD,89,66,33,91,68,34,85,54,15,90,68,36,87,65,31,92,65,40
STOCKDALE ISD,77,47,19,78,52,22,62,31,8,77,44,17,78,47,16,86,56,31
KERMIT ISD,60,32,10,55,31,9,48,18,1,63,31,11,72,37,14,65,43,16
WINK-LOVING ISD,75,46,20,71,46,16,68,31,8,82,52,29,72,47,13,78,42,20
ALVORD ISD,84,55,23,83,56,24,75,32,6,87,60,26,88,59,30,78,53,20
BOYD ISD,69,39,15,69,42,15,60,27,4,70,36,15,75,42,14,72,44,30
BRIDGEPORT ISD,71,42,16,69,43,15,53,30,4,76,42,15,76,45,21,75,47,23
CHICO ISD,69,38,13,71,44,15,63,23,5,68,39,17,69,29,5,72,44,15
DECATUR ISD,71,43,17,71,45,16,64,34,8,72,40,18,74,48,19,70,48,30
PARADISE ISD,87,60,27,88,63,28,78,45,5,88,60,29,89,65,32,84,57,34
SLIDELL ISD,64,39,15,66,45,18,50,32,2,63,35,14,66,37,11,69,35,24
HAWKINS ISD,73,43,18,70,46,18,67,29,7,75,43,19,84,51,22,67,37,17
MINEOLA ISD,80,53,23,77,50,21,66,39,9,85,55,24,82,57,27,92,68,42
QUITMAN ISD,72,44,18,74,50,20,55,24,5,70,36,16,74,47,20,78,55,26
YANTIS ISD,64,34,12,63,37,14,55,15,2,63,33,10,73,36,17,64,41,18
ALBA-GOLDEN ISD,71,38,15,72,43,18,66,30,7,72,39,14,74,36,17,52,19,12
WINNSBORO ISD,73,44,18,69,44,16,59,23,6,74,46,20,78,45,15,85,60,35
DENVER CITY ISD,66,36,12,64,37,12,62,30,9,64,33,13,75,41,13,67,40,17
PLAINS ISD,65,36,12,63,38,14,56,23,6,63,35,12,71,38,10,80,40,17
GRAHAM ISD,74,47,21,71,46,18,54,22,3,80,50,25,75,49,20,83,58,32
NEWCASTLE ISD,82,53,23,80,50,16,70,38,5,86,56,32,80,53,24,95,86,45
OLNEY ISD,81,58,27,80,59,24,84,60,30,78,52,24,86,59,30,87,67,46
ZAPATA COUNTY ISD,49,24,9,50,27,9,39,13,4,46,21,8,49,22,8,61,29,13
CRYSTAL CITY ISD,44,19,5,47,26,6,30,9,0,35,10,3,51,16,2,60,30,10
LA PRYOR ISD,51,24,6,57,31,8,55,18,2,46,17,6,46,19,3,54,32,6